	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.13663716614246368	8002	0	3	negros	AQ	10	blancos
1	1	0.04453818127512932	10191	0	3	negros	NC	9	negros
2	2	0.02322440780699253	8217	0	3	negros	AQ	8	libres
3	3	0.02306605502963066	3166	0	3	negros	AQ	7	diferentes
4	4	0.02077675051987171	20089	0	3	negros	AQ	6	raros
5	5	0.019128816202282906	10323	0	3	negros	AQ	5	iguales
6	6	0.01886921189725399	12880	0	3	negros	AQ	4	esclavos
7	7	0.015570641495287418	19945	0	3	negros	AQ	3	escasos
8	8	0.015140121802687645	3	0	3	negros	AQ	2	[unk]
9	9	0.012766244821250439	3099	0	3	negros	NC	1	mayoría
0	0	0.043915919959545135	8002	1	3	negros	AQ	10	blancos
1	1	0.031949449330568314	17294	1	3	negros	VMP	9	asesinados
2	2	0.030993502587080002	20089	1	3	negros	AQ	8	raros
3	3	0.02491089329123497	10191	1	3	negros	AQ	7	negros
4	4	0.020621763542294502	3166	1	3	negros	AQ	6	diferentes
5	5	0.017940828576683998	10876	1	3	negros	AQ	5	felices
6	6	0.01781199499964714	3	1	3	negros	AQ	4	[unk]
7	7	0.017377890646457672	11449	1	3	negros	AQ	3	vulnerables
8	8	0.01602138765156269	11384	1	3	negros	AQ	2	populares
9	9	0.014857945032417774	8217	1	3	negros	AQ	1	libres
0	0	0.12030580639839172	14088	2	3	negros	NC	10	idiotas
1	1	0.07450839877128601	28901	2	3	negros	NC	9	perdedores
2	2	0.05429743602871895	17159	2	3	negros	AQ	8	salvajes
3	3	0.05121761932969093	17219	2	3	negros	NC	7	cerdos
4	4	0.05032195895910263	3	2	3	negros	NC	6	[unk]
5	5	0.045834701508283615	18404	2	3	negros	AQ	5	tontos
6	6	0.04437607526779175	26248	2	3	negros	NC	4	bastardos
7	7	0.03605211153626442	25837	2	3	negros	AQ	3	inútiles
8	8	0.03562835231423378	30103	2	3	negros	NC	2	cabrones
9	9	0.030428776517510414	4608	2	3	negros	NC	1	animales
0	0	0.15311890840530396	3099	3	3	negros	NC	10	mayoría
1	1	0.1259329617023468	18422	3	3	negros	NC	9	minoría
2	2	0.048112448304891586	20089	3	3	negros	AQ	8	raros
3	3	0.03838376700878143	19945	3	3	negros	AQ	7	escasos
4	4	0.0343179814517498	24035	3	3	negros	AQ	6	bienvenidos
5	5	0.02290157414972782	6233	3	3	negros	AQ	5	comunes
6	6	0.02066614292562008	7986	3	3	negros	AQ	4	residentes
7	7	0.018126366659998894	3697	3	3	negros	AQ	3	importantes
8	8	0.017831766977906227	13345	3	3	negros	AQ	2	ilegales
9	9	0.01779974065721035	6088	3	3	negros	PI	1	pocos
0	0	0.0528995543718338	8002	4	3	negros	AQ	10	blancos
1	1	0.04890855774283409	18422	4	3	negros	NC	9	minoría
2	2	0.04479532316327095	3099	4	3	negros	NC	8	mayoría
3	3	0.036357712000608444	8217	4	3	negros	AQ	7	libres
4	4	0.03214820474386215	12880	4	3	negros	AQ	6	esclavos
5	5	0.030988356098532677	13345	4	3	negros	AQ	5	ilegales
6	6	0.025385234504938126	19201	4	3	negros	AQ	4	excluidos
7	7	0.02389749139547348	3	4	3	negros	AQ	3	[unk]
8	8	0.018646223470568657	8138	4	3	negros	AQ	2	extranjeros
9	9	0.01552052516490221	7986	4	3	negros	AQ	1	residentes
0	0	0.359738290309906	24035	5	3	negros	AQ	10	bienvenidos
1	1	0.0415506549179554	20089	5	3	negros	AQ	9	raros
2	2	0.028867146000266075	25414	5	3	negros	AQ	8	admitidos
3	3	0.025145376101136208	12282	5	3	negros	AQ	7	frecuentes
4	4	0.018202530220150948	19945	5	3	negros	AQ	6	escasos
5	5	0.016744954511523247	13345	5	3	negros	AQ	5	ilegales
6	6	0.016158076003193855	7986	5	3	negros	AQ	4	residentes
7	7	0.016026675701141357	15439	5	3	negros	NC	3	turistas
8	8	0.015502627938985825	6233	5	3	negros	AQ	2	comunes
9	9	0.014711619354784489	11384	5	3	negros	AQ	1	populares
0	0	0.21702717244625092	8002	6	3	negros	AQ	10	blancos
1	1	0.13845394551753998	10323	6	3	negros	AQ	9	iguales
2	2	0.1139889732003212	10191	6	3	negros	NC	8	negros
3	3	0.019363297149538994	8217	6	3	negros	AQ	7	libres
4	4	0.01928878389298916	9168	6	3	negros	AQ	6	malos
5	5	0.018104638904333115	12880	6	3	negros	AQ	5	esclavos
6	6	0.014662171714007854	3166	6	3	negros	AQ	4	diferentes
7	7	0.0143900066614151	1506	6	3	negros	RG	3	así
8	8	0.012990719638764858	5987	6	3	negros	AQ	2	buenos
9	9	0.010655081830918789	10876	6	3	negros	AQ	1	felices
0	0	0.11968231201171875	8109	7	3	negros	AQ	10	fuertes
1	1	0.07384193688631058	11384	7	3	negros	AQ	9	populares
2	2	0.0466964989900589	12627	7	3	negros	AQ	8	peligrosos
3	3	0.03791723772883415	22398	7	3	negros	AQ	7	hermosos
4	4	0.035459935665130615	26583	7	3	negros	AQ	6	atractivos
5	5	0.0354478657245636	3037	7	3	negros	AQ	5	grandes
6	6	0.03023507073521614	18289	7	3	negros	AQ	4	inteligentes
7	7	0.027752961963415146	4195	7	3	negros	AQ	3	jóvenes
8	8	0.02698264643549919	15110	7	3	negros	AQ	2	débiles
9	9	0.026739750057458878	3697	7	3	negros	AQ	1	importantes
0	0	0.10520720481872559	7672	8	3	negros	AQ	10	afectados
1	1	0.08805930614471436	3697	8	3	negros	AQ	9	importantes
2	2	0.07728796452283859	11384	8	3	negros	AQ	8	populares
3	3	0.05425155535340309	7679	8	3	negros	AQ	7	numerosos
4	4	0.04526899382472038	10834	8	3	negros	AQ	6	ricos
5	5	0.04291123151779175	6233	8	3	negros	AQ	5	comunes
6	6	0.04006199538707733	7056	8	3	negros	AQ	4	pobres
7	7	0.034448690712451935	12282	8	3	negros	AQ	3	frecuentes
8	8	0.032102301716804504	8109	8	3	negros	AQ	2	fuertes
9	9	0.024314776062965393	3037	8	3	negros	AQ	1	grandes
0	0	0.15196958184242249	7056	9	3	negros	AQ	10	pobres
1	1	0.10713177174329758	10834	9	3	negros	AQ	9	ricos
2	2	0.07635056227445602	11384	9	3	negros	AQ	8	populares
3	3	0.05610966682434082	7672	9	3	negros	AQ	7	afectados
4	4	0.04030435159802437	11449	9	3	negros	AQ	6	vulnerables
5	5	0.03547486662864685	3697	9	3	negros	AQ	5	importantes
6	6	0.031206632032990456	8109	9	3	negros	AQ	4	fuertes
7	7	0.02507205121219158	30680	9	3	negros	AQ	3	desfavorecidos
8	8	0.024749204516410828	18968	9	3	negros	AQ	2	poderosos
9	9	0.019709762185811996	15110	9	3	negros	AQ	1	débiles
0	0	0.33212050795555115	11384	10	3	negros	AQ	10	populares
1	1	0.112757608294487	12282	10	3	negros	AQ	9	frecuentes
2	2	0.04052632302045822	7672	10	3	negros	AQ	8	afectados
3	3	0.038941796869039536	3697	10	3	negros	AQ	7	importantes
4	4	0.03675374761223793	6233	10	3	negros	AQ	6	comunes
5	5	0.033948250114917755	17498	10	3	negros	AQ	5	habituales
6	6	0.022328529506921768	26583	10	3	negros	AQ	4	atractivos
7	7	0.020096413791179657	7679	10	3	negros	AQ	3	numerosos
8	8	0.019589290022850037	24055	10	3	negros	AQ	2	seguidos
9	9	0.018354620784521103	16556	10	3	negros	AQ	1	famosos
0	0	0.061799515038728714	20089	11	3	negros	AQ	10	raros
1	1	0.045719195157289505	3166	11	3	negros	AQ	9	diferentes
2	2	0.03917064517736435	12627	11	3	negros	AQ	8	peligrosos
3	3	0.03030301257967949	8109	11	3	negros	AQ	7	fuertes
4	4	0.029912235215306282	18083	11	3	negros	AQ	6	sensibles
5	5	0.026632416993379593	9168	11	3	negros	AQ	5	malos
6	6	0.025457777082920074	3697	11	3	negros	AQ	4	importantes
7	7	0.024888405576348305	7056	11	3	negros	AQ	3	pobres
8	8	0.01996643841266632	11384	11	3	negros	AQ	2	populares
9	9	0.018216058611869812	22391	11	3	negros	AQ	1	amables
0	0	0.18789660930633545	17219	12	3	negros	NC	10	cerdos
1	1	0.12889288365840912	14088	12	3	negros	NC	9	idiotas
2	2	0.07042650133371353	30103	12	3	negros	NC	8	cabrones
3	3	0.050329532474279404	29335	12	3	negros	NC	7	imbéciles
4	4	0.037264302372932434	17159	12	3	negros	AQ	6	salvajes
5	5	0.036992158740758896	28901	12	3	negros	NC	5	perdedores
6	6	0.03286964073777199	4608	12	3	negros	NC	4	animales
7	7	0.031565356999635696	3	12	3	negros	NC	3	[unk]
8	8	0.029750093817710876	30372	12	3	negros	NC	2	brutos
9	9	0.02947666496038437	26248	12	3	negros	AQ	1	bastardos
0	0	0.2212541401386261	8002	0	3	blancos	NC	10	blancos
1	1	0.20144572854042053	10191	0	3	blancos	AQ	9	negros
2	2	0.0671192854642868	16882	0	3	blancos	AQ	8	azules
3	3	0.06585636734962463	15969	0	3	blancos	AQ	7	amerindios
4	4	0.053204603493213654	13649	0	3	blancos	AQ	6	asiáticos
5	5	0.038910068571567535	18644	0	3	blancos	AQ	5	rojos
6	6	0.038377173244953156	15283	0	3	blancos	AQ	4	afroamericanos
7	7	0.02921193838119507	2614	0	3	blancos	AQ	3	humanos
8	8	0.025159677490592003	13052	0	3	blancos	AQ	2	indios
9	9	0.01968378946185112	2567	0	3	blancos	NC	1	hombres
0	0	0.07198580354452133	8002	1	3	blancos	AQ	10	blancos
1	1	0.03797649219632149	20089	1	3	blancos	AQ	9	raros
2	2	0.033217862248420715	10191	1	3	blancos	AQ	8	negros
3	3	0.02330135740339756	3	1	3	blancos	AQ	7	[unk]
4	4	0.018740206956863403	4195	1	3	blancos	AQ	6	jóvenes
