	index	score	token	sentence	model	dimension	pos_tag	sentiment	rsv	word
0	0	0.6704577803611755	60614	0	17	negros		NEU	10	negros
1	1	0.0347384549677372	59432	0	17	negros		NEG	9	muertos
2	2	0.03099464625120163	37254	0	17	negros		NEU	8	hermanos
3	3	0.015440489165484905	16169	0	17	negros		NEU	7	ellos
4	4	0.013600219041109085	21879	0	17	negros		NEU	6	hombres
5	5	0.007493197452276945	36462	0	17	negros		NEU	5	blancos
6	6	0.00688505545258522	58756	0	17	negros		POS	4	fuertes
7	7	0.006753689609467983	29097	0	17	negros		POS	3	amigos
8	8	0.006315142381936312	12525	0	17	negros		NEU	2	otros
9	9	0.005727153737097979	27665	0	17	negros		NEU	1	autores
0	0	0.11472233384847641	60614	1	17	negros		NEU	10	negros
1	1	0.07159879058599472	59432	1	17	negros		NEG	9	muertos
2	2	0.04103013873100281	37254	1	17	negros		NEU	8	hermanos
3	3	0.04000101611018181	60340	1	17	negros		POS	7	estrellas
4	4	0.03601796552538872	16169	1	17	negros		NEU	6	ellos
5	5	0.020652351900935173	66616	1	17	negros		POS	5	historias
6	6	0.019735313951969147	27665	1	17	negros		NEU	4	autores
7	7	0.018709145486354828	21879	1	17	negros		NEU	3	hombres
8	8	0.01847432553768158	12525	1	17	negros		NEU	2	otros
9	9	0.017778534442186356	35211	1	17	negros		POS	1	mejores
0	0	0.30659618973731995	60614	2	17	negros		NEG	10	negros
1	1	0.08309636265039444	61867	2	17	negros		NEG	9	ojos
2	2	0.07129427790641785	21879	2	17	negros		NEG	8	hombres
3	3	0.030281463637948036	37254	2	17	negros		NEU	7	hermanos
4	4	0.02967827208340168	32676	2	17	negros		NEG	6	niños
5	5	0.028748244047164917	36462	2	17	negros		NEG	5	blancos
6	6	0.027995148673653603	29097	2	17	negros		NEU	4	amigos
7	7	0.01724436692893505	78420	2	17	negros		NEU	3	versos
8	8	0.014267330057919025	54851	2	17	negros		NEG	2	árboles
9	9	0.012141839601099491	59432	2	17	negros		NEG	1	muertos
0	0	0.5107037425041199	60614	3	17	negros		NEG	10	negros
1	1	0.024181578308343887	16169	3	17	negros		NEU	9	ellos
2	2	0.023872291669249535	12525	3	17	negros		NEU	8	otros
3	3	0.020762156695127487	64440	3	17	negros		NEG	7	pobres
4	4	0.018856029957532883	21879	3	17	negros		NEU	6	hombres
5	5	0.01500872801989317	37254	3	17	negros		NEU	5	hermanos
6	6	0.014983514323830605	59432	3	17	negros		NEG	4	muertos
7	7	0.011392575688660145	10182	3	17	negros		NEG	3	los
8	8	0.010830266401171684	36462	3	17	negros		NEU	2	blancos
9	9	0.007871029898524284	29097	3	17	negros		NEU	1	amigos
0	0	0.48164451122283936	60614	4	17	negros		NEU	10	negros
1	1	0.028035741299390793	16169	4	17	negros		NEU	9	ellos
2	2	0.02466324158012867	59432	4	17	negros		NEG	8	muertos
3	3	0.024205688387155533	21879	4	17	negros		NEU	7	hombres
4	4	0.019100982695817947	61867	4	17	negros		NEU	6	ojos
5	5	0.017129259184002876	36462	4	17	negros		NEU	5	blancos
6	6	0.014754606410861015	12525	4	17	negros		NEU	4	otros
7	7	0.009471185505390167	29927	4	17	negros		NEU	3	flores
8	8	0.008106370456516743	29097	4	17	negros		POS	2	amigos
9	9	0.007266014814376831	48363	4	17	negros		NEU	1	fuentes
0	0	0.29681551456451416	60614	5	17	negros		NEU	10	negros
1	1	0.06916865706443787	59432	5	17	negros		NEG	9	muertos
2	2	0.04968290776014328	16169	5	17	negros		NEU	8	ellos
3	3	0.03628731146454811	29097	5	17	negros		POS	7	amigos
4	4	0.027153564617037773	60340	5	17	negros		POS	6	estrellas
5	5	0.026775451377034187	21879	5	17	negros		NEU	5	hombres
6	6	0.0229920893907547	12525	5	17	negros		NEU	4	otros
7	7	0.01924462616443634	37254	5	17	negros		NEU	3	hermanos
8	8	0.0130252530798316	36462	5	17	negros		NEU	2	blancos
9	9	0.010130900889635086	64440	5	17	negros		NEG	1	pobres
0	0	0.9356012940406799	60614	6	17	negros		NEG	10	negros
1	1	0.00772497383877635	59432	6	17	negros		NEG	9	muertos
2	2	0.004024231340736151	37254	6	17	negros		NEU	8	hermanos
3	3	0.003845144994556904	16169	6	17	negros		NEU	7	ellos
4	4	0.00359578849747777	21879	6	17	negros		NEU	6	hombres
5	5	0.0034443309996277094	36462	6	17	negros		NEU	5	blancos
6	6	0.0022396536078304052	12525	6	17	negros		NEU	4	otros
7	7	0.0008676666184328496	58756	6	17	negros		NEU	3	fuertes
8	8	0.0008423402905464172	79734	6	17	negros		NEU	2	vivos
9	9	0.0008019474917091429	84287	6	17	negros		NEG	1	presos
0	0	0.6796396970748901	60614	7	17	negros		NEG	10	negros
1	1	0.0907260999083519	48198	7	17	negros		NEU	9	altos
2	2	0.04599319025874138	36462	7	17	negros		NEU	8	blancos
3	3	0.016247224062681198	58756	7	17	negros		POS	7	fuertes
4	4	0.009642645716667175	99702	7	17	negros		POS	6	ricos
5	5	0.00834240484982729	13092	7	17	negros		POS	5	grandes
6	6	0.007561745587736368	79734	7	17	negros		POS	4	vivos
7	7	0.007489430718123913	64440	7	17	negros		NEG	3	pobres
8	8	0.006762034259736538	40834	7	17	negros		NEG	2	graves
9	9	0.0064046080224215984	96606	7	17	negros		POS	1	clásicos
0	0	0.24285389482975006	60614	8	17	negros		NEG	10	negros
1	1	0.14999812841415405	64440	8	17	negros		NEG	9	pobres
2	2	0.06127870827913284	36462	8	17	negros		NEG	8	blancos
3	3	0.058240871876478195	48198	8	17	negros		NEU	7	altos
4	4	0.04273535683751106	39065	8	17	negros		NEU	6	pequeños
5	5	0.039783772081136703	99702	8	17	negros		POS	5	ricos
6	6	0.026797251775860786	15828	8	17	negros		POS	4	importantes
7	7	0.019076339900493622	96606	8	17	negros		NEU	3	clásicos
8	8	0.011257382109761238	60404	8	17	negros		NEU	2	famosos
9	9	0.008934695273637772	13092	8	17	negros		POS	1	grandes
0	0	0.686549186706543	60614	9	17	negros		NEG	10	negros
1	1	0.10884064435958862	48198	9	17	negros		NEU	9	altos
2	2	0.029701054096221924	36462	9	17	negros		NEG	8	blancos
3	3	0.015187619253993034	99702	9	17	negros		POS	7	ricos
4	4	0.010234148241579533	39065	9	17	negros		NEU	6	pequeños
5	5	0.009174460545182228	13092	9	17	negros		POS	5	grandes
6	6	0.00847413670271635	15828	9	17	negros		POS	4	importantes
7	7	0.008308330550789833	64440	9	17	negros		NEG	3	pobres
8	8	0.0064003425650298595	79734	9	17	negros		POS	2	vivos
9	9	0.003779888153076172	58756	9	17	negros		POS	1	fuertes
0	0	0.7019636034965515	60614	10	17	negros		NEG	10	negros
1	1	0.06019781902432442	48198	10	17	negros		NEU	9	altos
2	2	0.04548683017492294	36462	10	17	negros		NEU	8	blancos
3	3	0.017878437414765358	15828	10	17	negros		POS	7	importantes
4	4	0.011571425013244152	79734	10	17	negros		POS	6	vivos
5	5	0.007587314583361149	39065	10	17	negros		NEU	5	pequeños
6	6	0.006766295991837978	50167	10	17	negros		POS	4	##thes
7	7	0.005222687963396311	58756	10	17	negros		POS	3	fuertes
8	8	0.005005983170121908	64440	10	17	negros		NEG	2	pobres
9	9	0.004420912358909845	13092	10	17	negros		POS	1	grandes
0	0	0.8455105423927307	60614	11	17	negros		NEG	10	negros
1	1	0.02779390476644039	36462	11	17	negros		NEG	9	blancos
2	2	0.016158927232027054	64440	11	17	negros		NEG	8	pobres
3	3	0.012128554284572601	58756	11	17	negros		NEU	7	fuertes
4	4	0.011160962283611298	48198	11	17	negros		NEU	6	altos
5	5	0.0051279086619615555	13092	11	17	negros		POS	5	grandes
6	6	0.00476574944332242	29097	11	17	negros		NEU	4	amigos
7	7	0.004226929973810911	34989	11	17	negros		NEG	3	malo
8	8	0.0033555098343640566	99702	11	17	negros		POS	2	ricos
9	9	0.0025855808053165674	39065	11	17	negros		NEU	1	pequeños
0	0	0.7314946055412292	60614	12	17	negros		NEG	10	negros
1	1	0.05760090425610542	61867	12	17	negros		NEG	9	ojos
2	2	0.016465002670884132	21879	12	17	negros		NEG	8	hombres
3	3	0.013818232342600822	36462	12	17	negros		NEG	7	blancos
4	4	0.012949263677001	32676	12	17	negros		NEG	6	niños
5	5	0.012069961056113243	59432	12	17	negros		NEG	5	muertos
6	6	0.011120396666228771	29097	12	17	negros		NEU	4	amigos
7	7	0.009048469364643097	12525	12	17	negros		NEG	3	otros
8	8	0.007903830148279667	37254	12	17	negros		NEU	2	hermanos
9	9	0.004680439829826355	97512	12	17	negros		NEG	1	esclavos
0	0	0.14312389492988586	60614	0	17	blancos		NEU	10	negros
1	1	0.10078583657741547	36462	0	17	blancos		NEU	9	blancos
2	2	0.08032512664794922	37254	0	17	blancos		NEU	8	hermanos
3	3	0.04786238446831703	59432	0	17	blancos		NEG	7	muertos
4	4	0.02191918157041073	21879	0	17	blancos		NEU	6	hombres
5	5	0.019417503848671913	106483	0	17	blancos		POS	5	buenas
6	6	0.017163299024105072	10171	0	17	blancos		NEU	4	##es
7	7	0.010733012109994888	35211	0	17	blancos		POS	3	mejores
8	8	0.010437771677970886	58756	0	17	blancos		POS	2	fuertes
9	9	0.008593868464231491	16169	0	17	blancos		NEU	1	ellos
0	0	0.06906364858150482	37254	1	17	blancos		NEU	10	hermanos
1	1	0.04085592180490494	60340	1	17	blancos		POS	9	estrellas
2	2	0.029136963188648224	35211	1	17	blancos		POS	8	mejores
3	3	0.026601433753967285	16169	1	17	blancos		NEU	7	ellos
4	4	0.026542669162154198	10171	1	17	blancos		NEU	6	##es
5	5	0.023324336856603622	106483	1	17	blancos		POS	5	buenas
6	6	0.023294860497117043	59432	1	17	blancos		NEG	4	muertos
7	7	0.020005499944090843	29927	1	17	blancos		NEU	3	flores
8	8	0.01990213245153427	27665	1	17	blancos		NEU	2	autores
9	9	0.01824127323925495	66616	1	17	blancos		NEU	1	historias
0	0	0.18356837332248688	36462	2	17	blancos		NEG	10	blancos
1	1	0.09636615961790085	21879	2	17	blancos		NEG	9	hombres
2	2	0.061914898455142975	61867	2	17	blancos		NEG	8	ojos
3	3	0.040202051401138306	37254	2	17	blancos		NEG	7	hermanos
4	4	0.03887682780623436	32676	2	17	blancos		NEG	6	niños
5	5	0.03257211297750473	46813	2	17	blancos		NEG	5	pies
6	6	0.030897531658411026	78420	2	17	blancos		NEU	4	versos
7	7	0.020129485055804253	59432	2	17	blancos		NEG	3	muertos
8	8	0.01955936849117279	60614	2	17	blancos		NEG	2	negros
9	9	0.014713302254676819	29097	2	17	blancos		NEU	1	amigos
0	0	0.29479125142097473	36462	3	17	blancos		NEU	10	blancos
1	1	0.05395766720175743	60614	3	17	blancos		NEG	9	negros
2	2	0.05224103853106499	64440	3	17	blancos		NEG	8	pobres
3	3	0.030038438737392426	16169	3	17	blancos		NEU	7	ellos
4	4	0.02656678669154644	21879	3	17	blancos		NEU	6	hombres
5	5	0.02598688192665577	59432	3	17	blancos		NEG	5	muertos
