	index	score	token	sentence	model	dimension	pos_tag	sentiment	rsv	word
0	0	0.017738427966833115	2852	0	11	negros		NEU	10	mayo
1	1	0.015515882521867752	413	0	11	negros		NEU	9	2
2	2	0.014074830338358879	3079	0	11	negros		NEU	8	abril
3	3	0.01284845545887947	3064	0	11	negros		POS	7	padres
4	4	0.012541488744318485	2601	0	11	negros		NEU	6	diciembre
5	5	0.011685226112604141	625	0	11	negros		NEU	5	3
6	6	0.011537618935108185	1605	0	11	negros		POS	4	grandes
7	7	0.009203597903251648	404	0	11	negros		POS	3	1
8	8	0.009091334417462349	2599	0	11	negros		NEU	2	noviembre
9	9	0.008772466331720352	679	0	11	negros		NEU	1	años
0	0	0.02122940495610237	1605	1	11	negros		POS	10	grandes
1	1	0.019072212278842926	4174	1	11	negros		POS	9	buenos
2	2	0.018717560917139053	18	1	11	negros		NEU	8	.
3	3	0.01766972430050373	2852	1	11	negros		NEU	7	mayo
4	4	0.015338126569986343	32820	1	11	negros		POS	6	bienvenidos
5	5	0.014683205634355545	30	1	11	negros		NEU	5	:
6	6	0.012829241342842579	21996	1	11	negros		NEU	4	jovenes
7	7	0.009448617696762085	11773	1	11	negros		NEU	3	escritores
8	8	0.008914380334317684	9931	1	11	negros		POS	2	ricos
9	9	0.008820469491183758	3979	1	11	negros		NEU	1	comentarios
0	0	0.05799117311835289	404	2	11	negros		NEG	10	1
1	1	0.03719095513224602	679	2	11	negros		NEG	9	años
2	2	0.0369863323867321	18	2	11	negros		NEG	8	.
3	3	0.028506889939308167	625	2	11	negros		NEG	7	3
4	4	0.0258240457624197	1752	2	11	negros		NEU	6	meses
5	5	0.02395327389240265	2323	2	11	negros		NEG	5	hombres
6	6	0.021735992282629013	413	2	11	negros		NEG	4	2
7	7	0.01935683563351631	3064	2	11	negros		NEU	3	padres
8	8	0.017040351405739784	753	2	11	negros		NEG	2	4
9	9	0.016055386513471603	1662	2	11	negros		NEG	1	niños
0	0	0.038528311997652054	32820	3	11	negros		POS	10	bienvenidos
1	1	0.03298085555434227	2852	3	11	negros		NEU	9	mayo
2	2	0.01891106553375721	679	3	11	negros		NEU	8	años
3	3	0.015293193981051445	4295	3	11	negros		NEU	7	*
4	4	0.01522317249327898	18	3	11	negros		NEU	6	.
5	5	0.014127741567790508	30	3	11	negros		NEU	5	:
6	6	0.012553711421787739	404	3	11	negros		NEU	4	1
7	7	0.012107238173484802	625	3	11	negros		NEU	3	3
8	8	0.011146511882543564	3008	3	11	negros		NEU	2	marzo
9	9	0.010903307236731052	3079	3	11	negros		NEU	1	abril
0	0	0.053877536207437515	18	4	11	negros		NEU	10	.
1	1	0.033680353313684464	30	4	11	negros		NEU	9	:
2	2	0.018396003171801567	625	4	11	negros		NEU	8	3
3	3	0.01649056002497673	413	4	11	negros		NEU	7	2
4	4	0.01394460815936327	679	4	11	negros		NEU	6	años
5	5	0.013476411812007427	2852	4	11	negros		NEU	5	mayo
6	6	0.013118925504386425	32820	4	11	negros		POS	4	bienvenidos
7	7	0.011037596501410007	1605	4	11	negros		POS	3	grandes
8	8	0.011008073575794697	404	4	11	negros		NEU	2	1
9	9	0.0093243308365345	753	4	11	negros		NEU	1	4
0	0	0.029844526201486588	4295	5	11	negros		NEU	10	*
1	1	0.028667442500591278	2852	5	11	negros		NEU	9	mayo
2	2	0.01500389352440834	18	5	11	negros		NEU	8	.
3	3	0.011739037930965424	2786	5	11	negros		NEU	7	julio
4	4	0.011419380083680153	679	5	11	negros		NEU	6	años
5	5	0.01133879367262125	404	5	11	negros		NEU	5	1
6	6	0.011234932579100132	3079	5	11	negros		NEU	4	abril
7	7	0.011052684858441353	2601	5	11	negros		NEU	3	diciembre
8	8	0.010090045630931854	12282	5	11	negros		POS	2	ganadores
9	9	0.00970227550715208	1605	5	11	negros		POS	1	grandes
0	0	0.03522885963320732	679	6	11	negros		NEU	10	años
1	1	0.028467152267694473	2152	6	11	negros		NEU	9	nuevos
2	2	0.013946066610515118	38549	6	11	negros		NEU	8	nominados
3	3	0.012705597095191479	726	6	11	negros		NEG	7	todos
4	4	0.011495563201606274	4174	6	11	negros		POS	6	buenos
5	5	0.008998882956802845	1605	6	11	negros		NEU	5	grandes
6	6	0.00839303433895111	16959	6	11	negros		NEG	4	spam
7	7	0.008306114003062248	625	6	11	negros		NEU	3	3
8	8	0.007895481772720814	413	6	11	negros		NEU	2	2
9	9	0.007547981105744839	32820	6	11	negros		POS	1	bienvenidos
0	0	0.45566388964653015	2792	7	11	negros		NEU	10	jóvenes
1	1	0.0788680911064148	3452	7	11	negros		NEU	9	pequeños
2	2	0.03140143305063248	9931	7	11	negros		POS	8	ricos
3	3	0.027096200734376907	21996	7	11	negros		NEU	7	jovenes
4	4	0.025635506957769394	43238	7	11	negros		POS	6	guapos
5	5	0.024647526443004608	8111	7	11	negros		NEG	5	pobres
6	6	0.022360624745488167	5839	7	11	negros		NEU	4	chicos
7	7	0.016726519912481308	1605	7	11	negros		POS	3	grandes
8	8	0.013112779706716537	16888	7	11	negros		NEG	2	débiles
9	9	0.013017622753977776	8323	7	11	negros		NEG	1	bajos
0	0	0.13560211658477783	8111	8	11	negros		NEG	10	pobres
1	1	0.09471122920513153	2792	8	11	negros		NEU	9	jóvenes
2	2	0.08573697507381439	9931	8	11	negros		POS	8	ricos
3	3	0.05374962091445923	3452	8	11	negros		NEU	7	pequeños
4	4	0.03853501006960869	10571	8	11	negros		NEG	6	inmigrantes
5	5	0.033388130366802216	16888	8	11	negros		NEG	5	débiles
6	6	0.03149815648794174	17050	8	11	negros		NEG	4	peligrosos
7	7	0.03079906292259693	6001	8	11	negros		NEU	3	fuertes
8	8	0.029999764636158943	1605	8	11	negros		POS	2	grandes
9	9	0.024192890152335167	6571	8	11	negros		NEU	1	populares
0	0	0.2596858739852905	8111	9	11	negros		NEG	10	pobres
1	1	0.10456366837024689	9931	9	11	negros		POS	9	ricos
2	2	0.07948315888643265	19857	9	11	negros		NEG	8	violentos
3	3	0.05126369372010231	37722	9	11	negros		NEG	7	racistas
4	4	0.050862766802310944	10423	9	11	negros		NEG	6	negros
5	5	0.03164276108145714	16100	9	11	negros		NEU	5	vulnerables
6	6	0.027121350169181824	16888	9	11	negros		NEG	4	débiles
7	7	0.026861215010285378	35039	9	11	negros		NEG	3	perseguidos
8	8	0.022332873195409775	2792	9	11	negros		NEU	2	jóvenes
9	9	0.01915668323636055	10805	9	11	negros		NEG	1	blancos
0	0	0.14049333333969116	8111	10	11	negros		NEG	10	pobres
1	1	0.12397973239421844	9931	10	11	negros		POS	9	ricos
2	2	0.12021169811487198	10423	10	11	negros		NEG	8	negros
3	3	0.0666271448135376	2792	10	11	negros		NEU	7	jóvenes
4	4	0.05876130610704422	6571	10	11	negros		NEU	6	populares
5	5	0.03797031566500664	3452	10	11	negros		NEU	5	pequeños
6	6	0.029090872034430504	43564	10	11	negros		NEU	4	buscados
7	7	0.024246392771601677	10805	10	11	negros		NEU	3	blancos
8	8	0.022783873602747917	19857	10	11	negros		NEG	2	violentos
9	9	0.017145780846476555	8323	10	11	negros		NEG	1	bajos
0	0	0.0921163335442543	4174	11	11	negros		POS	10	buenos
1	1	0.050964560359716415	6001	11	11	negros		NEU	9	fuertes
2	2	0.024005219340324402	1605	11	11	negros		POS	8	grandes
3	3	0.023715756833553314	13447	11	11	negros		NEG	7	críticos
4	4	0.02236288972198963	2843	11	11	negros		NEU	6	fuerte
5	5	0.0191842969506979	43238	11	11	negros		POS	5	guapos
6	6	0.017856918275356293	2562	11	11	negros		POS	4	bueno
7	7	0.01383666880428791	36858	11	11	negros		NEU	3	optimistas
8	8	0.01328208763152361	9245	11	11	negros		NEG	2	malos
9	9	0.012734044343233109	9931	11	11	negros		POS	1	ricos
0	0	0.03152411803603172	2342	12	11	negros		NEU	10	amigos
1	1	0.023060128092765808	2323	12	11	negros		NEG	9	hombres
2	2	0.02040632627904415	1605	12	11	negros		POS	8	grandes
3	3	0.01794060319662094	1152	12	11	negros		NEG	7	días
4	4	0.01726606674492359	679	12	11	negros		NEG	6	años
5	5	0.016555897891521454	14729	12	11	negros		NEG	5	pares
6	6	0.014392547309398651	1167	12	11	negros		POS	4	10
7	7	0.013083186000585556	1404	12	11	negros		NEG	3	millones
8	8	0.011399000883102417	1097	12	11	negros		NEG	2	7
9	9	0.010874897241592407	791	12	11	negros		NEG	1	5
0	0	0.023610642179846764	30	0	11	blancos		NEU	10	:
1	1	0.01988600380718708	413	0	11	blancos		NEU	9	2
2	2	0.016796426847577095	625	0	11	blancos		NEU	8	3
3	3	0.015790479257702827	404	0	11	blancos		NEU	7	1
4	4	0.012790990062057972	1605	0	11	blancos		POS	6	grandes
5	5	0.012356004677712917	1662	0	11	blancos		NEU	5	niños
6	6	0.00925406627357006	791	0	11	blancos		NEU	4	5
7	7	0.009143945761024952	10805	0	11	blancos		NEU	3	blancos
8	8	0.0090451929718256	753	0	11	blancos		NEU	2	4
9	9	0.008920064195990562	3600	0	11	blancos		NEU	1	blanco
0	0	0.03194790706038475	4174	1	11	blancos		POS	10	buenos
1	1	0.025501718744635582	30	1	11	blancos		NEU	9	:
2	2	0.021108122542500496	32820	1	11	blancos		POS	8	bienvenidos
3	3	0.015718646347522736	1605	1	11	blancos		POS	7	grandes
4	4	0.01400896068662405	3842	1	11	blancos		POS	6	buenas
5	5	0.011251107789576054	10171	1	11	blancos		POS	5	felices
6	6	0.00967592652887106	11748	1	11	blancos		NEU	4	positivos
7	7	0.009052639827132225	625	1	11	blancos		NEU	3	3
8	8	0.008715267293155193	413	1	11	blancos		NEU	2	2
9	9	0.00861973874270916	2852	1	11	blancos		NEU	1	mayo
0	0	0.047197818756103516	679	2	11	blancos		NEG	10	años
1	1	0.03706344962120056	2323	2	11	blancos		NEG	9	hombres
