	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.052634306252002716	7817	0	0	negros	AQ	10	malos
1	1	0.048064641654491425	5251	0	0	negros	AQ	9	buenos
2	2	0.04682432487607002	1938	0	0	negros	AQ	8	mejores
3	3	0.03231477737426758	11864	0	0	negros	AQ	7	peores
4	4	0.022001851350069046	13228	0	0	negros	NC	6	negros
5	5	0.017547277733683586	18293	0	0	negros	AQ	5	peligrosos
6	6	0.01675405725836754	28172	0	0	negros	AQ	4	geniales
7	7	0.01578192040324211	10940	0	0	negros	AQ	3	iguales
8	8	0.015705926343798637	24579	0	0	negros	AQ	2	tontos
9	9	0.015094930306077003	28061	0	0	negros	AQ	1	maravillosos
0	0	0.05352230742573738	5251	1	0	negros	AQ	10	buenos
1	1	0.04454617202281952	1938	1	0	negros	AQ	9	mejores
2	2	0.040228765457868576	7817	1	0	negros	AQ	8	malos
3	3	0.03338448330760002	18293	1	0	negros	AQ	7	peligrosos
4	4	0.025141023099422455	13012	1	0	negros	AQ	6	felices
5	5	0.02168288081884384	10782	1	0	negros	AQ	5	ricos
6	6	0.01871473342180252	11864	1	0	negros	AQ	4	peores
7	7	0.01828933320939541	10940	1	0	negros	AQ	3	iguales
8	8	0.015534336678683758	48316	1	0	negros	AQ	2	idiotas
9	9	0.015170909464359283	20782	1	0	negros	AQ	1	asesinos
0	0	0.06743758171796799	32228	2	0	negros	NC	10	cerdos
1	1	0.05974632874131203	21405	2	0	negros	NC	9	ladrones
2	2	0.04304942861199379	20782	2	0	negros	NC	8	asesinos
3	3	0.028333302587270737	21815	2	0	negros	NC	7	criminales
4	4	0.028301622718572617	45220	2	0	negros	AQ	6	ignorantes
5	5	0.027455372735857964	16111	2	0	negros	NC	5	santos
6	6	0.02610059082508087	36396	2	0	negros	NC	4	gilipollas
7	7	0.02579188346862793	48316	2	0	negros	NC	3	idiotas
8	8	0.02534126490354538	7817	2	0	negros	AQ	2	malos
9	9	0.023163504898548126	5442	2	0	negros	NC	1	artistas
0	0	0.0682407021522522	26014	3	0	negros	AQ	10	racistas
1	1	0.042689770460128784	40224	3	0	negros	AQ	9	bienvenidos
2	2	0.03284415230154991	25396	3	0	negros	AQ	8	esclavos
3	3	0.029389705508947372	21815	3	0	negros	AQ	7	criminales
4	4	0.028850186616182327	7817	3	0	negros	AQ	6	malos
5	5	0.025756090879440308	18293	3	0	negros	AQ	5	peligrosos
6	6	0.02522672526538372	10782	3	0	negros	AQ	4	ricos
7	7	0.022498920559883118	7481	3	0	negros	NC	3	inmigrantes
8	8	0.020163441076874733	12750	3	0	negros	AQ	2	ilegales
9	9	0.019847579300403595	11864	3	0	negros	AQ	1	peores
0	0	0.0387437641620636	13228	4	0	negros	AQ	10	negros
1	1	0.03637724369764328	25396	4	0	negros	AQ	9	esclavos
2	2	0.027374451979994774	18293	4	0	negros	AQ	8	peligrosos
3	3	0.024235518649220467	21815	4	0	negros	AQ	7	criminales
4	4	0.022190293297171593	10940	4	0	negros	AQ	6	iguales
5	5	0.02213035710155964	24579	4	0	negros	AQ	5	tontos
6	6	0.019793039187788963	13012	4	0	negros	AQ	4	felices
7	7	0.01893390156328678	48316	4	0	negros	AQ	3	idiotas
8	8	0.017390621826052666	7817	4	0	negros	AQ	2	malos
9	9	0.017252851277589798	11864	4	0	negros	AQ	1	peores
0	0	0.04441259801387787	40224	5	0	negros	AQ	10	bienvenidos
1	1	0.033030930906534195	10782	5	0	negros	AQ	9	ricos
2	2	0.03135017678141594	11864	5	0	negros	AQ	8	peores
3	3	0.027485288679599762	18293	5	0	negros	AQ	7	peligrosos
4	4	0.02243898995220661	5251	5	0	negros	AQ	6	buenos
5	5	0.021656081080436707	7817	5	0	negros	AQ	5	malos
6	6	0.021089274436235428	24579	5	0	negros	AQ	4	tontos
7	7	0.020456338301301003	1938	5	0	negros	AQ	3	mejores
8	8	0.01914503611624241	13012	5	0	negros	AQ	2	felices
9	9	0.018919145688414574	36396	5	0	negros	AQ	1	gilipollas
0	0	0.3235229253768921	10940	6	0	negros	AQ	10	iguales
1	1	0.20134064555168152	13228	6	0	negros	NC	9	negros
2	2	0.04854026809334755	11941	6	0	negros	AQ	8	blancos
3	3	0.035989318042993546	5251	6	0	negros	AQ	7	buenos
4	4	0.021771805360913277	7817	6	0	negros	AQ	6	malos
5	5	0.011988210491836071	13012	6	0	negros	AQ	5	felices
6	6	0.011842861771583557	40224	6	0	negros	AQ	4	bienvenidos
7	7	0.009705382399260998	10782	6	0	negros	AQ	3	ricos
8	8	0.0065998355858027935	16098	6	0	negros	AQ	2	rojos
9	9	0.006445066072046757	1808	6	0	negros	AQ	1	igual
0	0	0.08964717388153076	18293	7	0	negros	AQ	10	peligrosos
1	1	0.05930732190608978	6500	7	0	negros	AQ	9	afectados
2	2	0.031632352620363235	44664	7	0	negros	AQ	8	guapos
3	3	0.03059597685933113	13012	7	0	negros	AQ	7	felices
4	4	0.027944404631853104	32757	7	0	negros	AQ	6	perjudicados
5	5	0.026682723313570023	19407	7	0	negros	AQ	5	violentos
6	6	0.024213984608650208	16344	7	0	negros	AQ	4	vulnerables
7	7	0.022879626601934433	7423	7	0	negros	AQ	3	seguros
8	8	0.022839948534965515	10782	7	0	negros	AQ	2	ricos
9	9	0.020725740119814873	32370	7	0	negros	AQ	1	agresivos
0	0	0.25219812989234924	6500	8	0	negros	AQ	10	afectados
1	1	0.10691213607788086	32757	8	0	negros	AQ	9	perjudicados
2	2	0.06080027297139168	16344	8	0	negros	AQ	8	vulnerables
3	3	0.04455205425620079	18293	8	0	negros	AQ	7	peligrosos
4	4	0.033392712473869324	9859	8	0	negros	AQ	6	pobres
5	5	0.025444813072681427	10782	8	0	negros	AQ	5	ricos
6	6	0.02087879739701748	38520	8	0	negros	VMM	4	perseguidos
7	7	0.019996847957372665	6642	8	0	negros	AQ	3	numerosos
8	8	0.019243991002440453	38131	8	0	negros	NC	2	beneficiados
9	9	0.014407984912395477	32370	8	0	negros	AQ	1	agresivos
0	0	0.05706525966525078	10782	9	0	negros	AQ	10	ricos
1	1	0.05619233101606369	13012	9	0	negros	AQ	9	felices
2	2	0.05404118448495865	18293	9	0	negros	AQ	8	peligrosos
3	3	0.04441975802183151	32757	9	0	negros	AQ	7	perjudicados
4	4	0.0399392768740654	6500	9	0	negros	AQ	6	afectados
5	5	0.034526970237493515	9859	9	0	negros	AQ	5	pobres
6	6	0.033722009509801865	16344	9	0	negros	AQ	4	vulnerables
7	7	0.027785778045654297	14661	9	0	negros	AQ	3	inteligentes
8	8	0.01917938143014908	18190	9	0	negros	AQ	2	débiles
9	9	0.019007038325071335	7423	9	0	negros	AQ	1	seguros
0	0	0.09885753691196442	6500	10	0	negros	AQ	10	afectados
1	1	0.05416042357683182	18293	10	0	negros	AQ	9	peligrosos
2	2	0.04115273058414459	32757	10	0	negros	AQ	8	perjudicados
3	3	0.038550879806280136	40360	10	0	negros	AQ	7	buscados
4	4	0.028418371453881264	10782	10	0	negros	AQ	6	ricos
5	5	0.020866211503744125	33928	10	0	negros	NC	5	demandados
6	6	0.019807118922472	8452	10	0	negros	AQ	4	interesados
7	7	0.019484182819724083	16344	10	0	negros	AQ	3	vulnerables
8	8	0.019224319607019424	7423	10	0	negros	AQ	2	seguros
9	9	0.01763899065554142	18711	10	0	negros	AQ	1	caros
0	0	0.23855529725551605	5251	11	0	negros	AQ	10	buenos
1	1	0.2049415111541748	18206	11	0	negros	AQ	9	bonitos
2	2	0.08686845004558563	44664	11	0	negros	AQ	8	guapos
3	3	0.04180940240621567	23137	11	0	negros	AQ	7	divertidos
4	4	0.03652988001704216	32359	11	0	negros	AQ	6	monos
5	5	0.01897526904940605	10782	11	0	negros	AQ	5	ricos
6	6	0.014787894673645496	27909	11	0	negros	AQ	4	agradables
7	7	0.01337738148868084	7817	11	0	negros	AQ	3	malos
8	8	0.0133107490837574	36245	11	0	negros	AQ	2	alegres
9	9	0.012506258673965931	1733	11	0	negros	AQ	1	grandes
0	0	0.04828531667590141	32228	12	0	negros	NC	10	cerdos
1	1	0.04725053161382675	21405	12	0	negros	NC	9	ladrones
2	2	0.0415421761572361	7817	12	0	negros	AQ	8	malos
3	3	0.03401432931423187	16111	12	0	negros	NC	7	santos
4	4	0.031234800815582275	5251	12	0	negros	AQ	6	buenos
5	5	0.029463406652212143	20782	12	0	negros	NC	5	asesinos
6	6	0.027832945808768272	48968	12	0	negros	NC	4	chorizos
7	7	0.025119876489043236	13228	12	0	negros	NC	3	negros
8	8	0.02179127186536789	20588	12	0	negros	AQ	2	locos
9	9	0.020218102261424065	44812	12	0	negros	NC	1	payasos
0	0	0.08290080726146698	1938	0	0	blancos	AQ	10	mejores
1	1	0.05399826914072037	5251	0	0	blancos	AQ	9	buenos
2	2	0.04196146875619888	7817	0	0	blancos	AQ	8	malos
3	3	0.03503231331706047	11864	0	0	blancos	AQ	7	peores
4	4	0.01762782409787178	28061	0	0	blancos	AQ	6	maravillosos
5	5	0.0173588078469038	28172	0	0	blancos	AQ	5	geniales
6	6	0.017092430964112282	10940	0	0	blancos	AQ	4	iguales
7	7	0.011534794233739376	840	0	0	blancos	AQ	3	mejor
8	8	0.010893930681049824	24579	0	0	blancos	AQ	2	tontos
9	9	0.010721907019615173	18293	0	0	blancos	AQ	1	peligrosos
0	0	0.059607356786727905	1938	1	0	blancos	AQ	10	mejores
1	1	0.054666608572006226	5251	1	0	blancos	AQ	9	buenos
2	2	0.02730981633067131	7817	1	0	blancos	AQ	8	malos
3	3	0.026571709662675858	13012	1	0	blancos	AQ	7	felices
4	4	0.022073976695537567	18293	1	0	blancos	AQ	6	peligrosos
5	5	0.02176772803068161	28172	1	0	blancos	AQ	5	geniales
6	6	0.01891019381582737	10782	1	0	blancos	AQ	4	ricos
7	7	0.01740749180316925	11864	1	0	blancos	AQ	3	peores
8	8	0.016941742971539497	28061	1	0	blancos	AQ	2	maravillosos
9	9	0.015553363598883152	1361	1	0	blancos	CC	1	mas
0	0	0.050790995359420776	32228	2	0	blancos	NC	10	cerdos
1	1	0.0407358855009079	21405	2	0	blancos	NC	9	ladrones
2	2	0.03893638402223587	16111	2	0	blancos	NC	8	santos
3	3	0.03498205915093422	5442	2	0	blancos	NC	7	artistas
4	4	0.02523517981171608	7817	2	0	blancos	AQ	6	malos
5	5	0.024618420749902725	45220	2	0	blancos	AQ	5	ignorantes
6	6	0.023823384195566177	36396	2	0	blancos	NC	4	gilipollas
7	7	0.022584540769457817	28117	2	0	blancos	NC	3	lobos
8	8	0.02256656438112259	48968	2	0	blancos	NC	2	chorizos
9	9	0.020347625017166138	20782	2	0	blancos	NC	1	asesinos
0	0	0.036196839064359665	26014	3	0	blancos	AQ	10	racistas
1	1	0.03173127397894859	40224	3	0	blancos	AQ	9	bienvenidos
2	2	0.027690475806593895	10782	3	0	blancos	AQ	8	ricos
3	3	0.02464284375309944	25396	3	0	blancos	AQ	7	esclavos
4	4	0.023061513900756836	11864	3	0	blancos	AQ	6	peores
5	5	0.02185843326151371	7481	3	0	blancos	NC	5	inmigrantes
6	6	0.020496727898716927	7817	3	0	blancos	AQ	4	malos
7	7	0.018810506910085678	18293	3	0	blancos	AQ	3	peligrosos
8	8	0.018316106870770454	5251	3	0	blancos	AQ	2	buenos
9	9	0.01708168350160122	9859	3	0	blancos	AQ	1	pobres
0	0	0.03815356269478798	1938	4	0	blancos	AQ	10	mejores
1	1	0.03347281366586685	13012	4	0	blancos	AQ	9	felices
2	2	0.02730254828929901	10940	4	0	blancos	AQ	8	iguales
3	3	0.02338424138724804	24579	4	0	blancos	AQ	7	tontos
4	4	0.022116003558039665	25396	4	0	blancos	AQ	6	esclavos
5	5	0.018821142613887787	11941	4	0	blancos	AQ	5	blancos
6	6	0.01823776215314865	13228	4	0	blancos	AQ	4	negros
7	7	0.017367295920848846	5251	4	0	blancos	AQ	3	buenos
8	8	0.016907788813114166	467	4	0	blancos	RG	2	más
9	9	0.01596159301698208	48316	4	0	blancos	AQ	1	idiotas
0	0	0.039484668523073196	40224	5	0	blancos	AQ	10	bienvenidos
1	1	0.029476774856448174	13012	5	0	blancos	AQ	9	felices
2	2	0.027782445773482323	10782	5	0	blancos	AQ	8	ricos
3	3	0.02561437338590622	467	5	0	blancos	RG	7	más
4	4	0.020375240594148636	5251	5	0	blancos	AQ	6	buenos
5	5	0.015127982012927532	8349	5	0	blancos	AQ	5	extranjeros
6	6	0.015125688165426254	24579	5	0	blancos	AQ	4	tontos
7	7	0.014028613455593586	1938	5	0	blancos	AQ	3	mejores
8	8	0.013026678934693336	28061	5	0	blancos	AQ	2	maravillosos
9	9	0.01245058048516512	11941	5	0	blancos	AQ	1	blancos
0	0	0.19828307628631592	10940	6	0	blancos	AQ	10	iguales
1	1	0.10369250923395157	13228	6	0	blancos	AQ	9	negros
2	2	0.05570394545793533	11941	6	0	blancos	NC	8	blancos
3	3	0.045793596655130386	5251	6	0	blancos	AQ	7	buenos
4	4	0.01931213028728962	40224	6	0	blancos	AQ	6	bienvenidos
5	5	0.012654741294682026	7817	6	0	blancos	AQ	5	malos
6	6	0.010191311128437519	13012	6	0	blancos	AQ	4	felices
7	7	0.009342828765511513	974	6	0	blancos	RG	3	así
8	8	0.009092230349779129	2656	6	0	blancos	AQ	2	españoles
9	9	0.008719348348677158	10782	6	0	blancos	AQ	1	ricos
0	0	0.04680611193180084	6500	7	0	blancos	AQ	10	afectados
1	1	0.032633859664201736	13012	7	0	blancos	AQ	9	felices
2	2	0.029499391093850136	7423	7	0	blancos	AQ	8	seguros
3	3	0.02741771750152111	8452	7	0	blancos	AQ	7	interesados
4	4	0.02585500478744507	44664	7	0	blancos	AQ	6	guapos
5	5	0.025547204539179802	7478	7	0	blancos	AQ	5	activos
6	6	0.023541517555713654	32757	7	0	blancos	AQ	4	perjudicados
7	7	0.02290189452469349	10782	7	0	blancos	AQ	3	ricos
8	8	0.021888619288802147	5619	7	0	blancos	AQ	2	populares
9	9	0.019511280581355095	21629	7	0	blancos	AQ	1	listos
0	0	0.21240544319152832	6500	8	0	blancos	AQ	10	afectados
1	1	0.07616923004388809	32757	8	0	blancos	AQ	9	perjudicados
2	2	0.05810962989926338	6642	8	0	blancos	AQ	8	numerosos
3	3	0.03448875993490219	16344	8	0	blancos	AQ	7	vulnerables
4	4	0.024700196459889412	38131	8	0	blancos	NC	6	beneficiados
5	5	0.022836368530988693	7478	8	0	blancos	AQ	5	activos
6	6	0.02117292396724224	10782	8	0	blancos	AQ	4	ricos
7	7	0.019642071798443794	9859	8	0	blancos	AQ	3	pobres
8	8	0.01842302270233631	40360	8	0	blancos	AQ	2	buscados
9	9	0.015199335291981697	18293	8	0	blancos	AQ	1	peligrosos
0	0	0.0647227093577385	6500	9	0	blancos	AQ	10	afectados
1	1	0.053953494876623154	10782	9	0	blancos	AQ	9	ricos
2	2	0.05222673341631889	13012	9	0	blancos	AQ	8	felices
3	3	0.03288726136088371	32757	9	0	blancos	AQ	7	perjudicados
4	4	0.03056211583316326	7478	9	0	blancos	AQ	6	activos
5	5	0.02533857338130474	7423	9	0	blancos	AQ	5	seguros
6	6	0.02479139156639576	9859	9	0	blancos	AQ	4	pobres
7	7	0.02459076978266239	16344	9	0	blancos	AQ	3	vulnerables
8	8	0.018135692924261093	14661	9	0	blancos	AQ	2	inteligentes
9	9	0.015914468094706535	28932	9	0	blancos	AQ	1	solidarios
0	0	0.09399303793907166	6642	10	0	blancos	AQ	10	numerosos
