	index	score	token	sentence	model	dimension	pos_tag	sentiment	rsv	word
0	0	0.1895362287759781	8002	0	4	negros		NEU	10	blancos
1	1	0.1020951196551323	10191	0	4	negros		NEU	9	negros
2	2	0.06579308956861496	10323	0	4	negros		NEG	8	iguales
3	3	0.014389901421964169	9168	0	4	negros		NEG	7	malos
4	4	0.012342977337539196	6233	0	4	negros		NEU	6	comunes
5	5	0.010324732400476933	12627	0	4	negros		NEG	5	peligrosos
6	6	0.009581555612385273	12604	0	4	negros		NEU	4	latinos
7	7	0.009448807686567307	12880	0	4	negros		NEG	3	esclavos
8	8	0.008155245333909988	14305	0	4	negros		NEU	2	verdes
9	9	0.008105977438390255	7012	0	4	negros		NEU	1	similares
0	0	0.08094851672649384	8002	1	4	negros		NEU	10	blancos
1	1	0.07001856714487076	10323	1	4	negros		NEU	9	iguales
2	2	0.0585135854780674	10191	1	4	negros		NEU	8	negros
3	3	0.011530812829732895	12627	1	4	negros		NEG	7	peligrosos
4	4	0.010144134983420372	23707	1	4	negros		NEU	6	gemelos
5	5	0.009891990572214127	24035	1	4	negros		POS	5	bienvenidos
6	6	0.009623546153306961	18644	1	4	negros		NEG	4	rojos
7	7	0.009155621752142906	28279	1	4	negros		NEG	3	ciegos
8	8	0.009101185947656631	8217	1	4	negros		POS	2	libres
9	9	0.00869705993682146	2409	1	4	negros		NEU	1	mujeres
0	0	0.06077266111969948	14088	2	4	negros		NEG	10	idiotas
1	1	0.044494807720184326	2330	2	4	negros		NEG	9	niños
2	2	0.04420984908938408	18404	2	4	negros		NEG	8	tontos
3	3	0.030832501128315926	25837	2	4	negros		NEG	7	inútiles
4	4	0.030242256820201874	17159	2	4	negros		NEG	6	salvajes
5	5	0.02691611275076866	17219	2	4	negros		NEG	5	cerdos
6	6	0.023836666718125343	11063	2	4	negros		NEG	4	locos
7	7	0.020365282893180847	10323	2	4	negros		NEG	3	iguales
8	8	0.01796809956431389	17870	2	4	negros		NEG	2	monstruos
9	9	0.017792634665966034	5987	2	4	negros		POS	1	buenos
0	0	0.19411171972751617	8002	3	4	negros		NEU	10	blancos
1	1	0.09346548467874527	10191	3	4	negros		NEG	9	negros
2	2	0.034126799553632736	8138	3	4	negros		NEU	8	extranjeros
3	3	0.03004421852529049	12627	3	4	negros		NEG	7	peligrosos
4	4	0.023583101108670235	11835	3	4	negros		NEG	6	inmigrantes
5	5	0.022622575983405113	12880	3	4	negros		NEG	5	esclavos
6	6	0.01941225491464138	24035	3	4	negros		POS	4	bienvenidos
7	7	0.015868952497839928	13345	3	4	negros		NEG	3	ilegales
8	8	0.01449982263147831	6528	3	4	negros		NEU	2	europeos
9	9	0.014460659585893154	10121	3	4	negros		NEU	1	españoles
0	0	0.1679636687040329	8002	4	4	negros		NEU	10	blancos
1	1	0.06076706573367119	10191	4	4	negros		NEU	9	negros
2	2	0.04041390120983124	10323	4	4	negros		NEU	8	iguales
3	3	0.02899923361837864	24035	4	4	negros		POS	7	bienvenidos
4	4	0.02853919006884098	8138	4	4	negros		NEU	6	extranjeros
5	5	0.02722298912703991	8217	4	4	negros		POS	5	libres
6	6	0.016216307878494263	23884	4	4	negros		NEU	4	homosexuales
7	7	0.01502888835966587	12627	4	4	negros		NEG	3	peligrosos
8	8	0.015007203444838524	12880	4	4	negros		NEG	2	esclavos
9	9	0.010388773865997791	19609	4	4	negros		NEU	1	mexicanos
0	0	0.09710662811994553	24035	5	4	negros		POS	10	bienvenidos
1	1	0.046960026025772095	8002	5	4	negros		NEU	9	blancos
2	2	0.038962092250585556	8138	5	4	negros		NEU	8	extranjeros
3	3	0.03428056091070175	15439	5	4	negros		NEU	7	turistas
4	4	0.03110749088227749	16556	5	4	negros		NEU	6	famosos
5	5	0.02703946828842163	12627	5	4	negros		NEG	5	peligrosos
6	6	0.019780687987804413	10191	5	4	negros		NEU	4	negros
7	7	0.016710707917809486	28279	5	4	negros		NEG	3	ciegos
8	8	0.01225261390209198	10323	5	4	negros		NEU	2	iguales
9	9	0.011608743108808994	11449	5	4	negros		NEU	1	vulnerables
0	0	0.4826871156692505	8002	6	4	negros		NEU	10	blancos
