	index	score	token	sentence	model	dimension	pos_tag	sentiment	rsv	word
0	0	0.054412126541137695	365	0	1	negros		NEU	10	los
1	1	0.0348554402589798	5229	0	1	negros		POS	9	buenos
2	2	0.031409379094839096	313	0	1	negros		NEU	8	de
3	3	0.026929110288619995	27821	0	1	negros		POS	7	geniales
4	4	0.023943733423948288	13163	0	1	negros		NEU	6	negros
5	5	0.01889902912080288	728	0	1	negros		NEU	5	muy
6	6	0.01799023151397705	20393	0	1	negros		POS	4	impresionantes
7	7	0.01704985834658146	527	0	1	negros		NEU	3	...
8	8	0.014798769727349281	1278	0	1	negros		NEG	2	unos
9	9	0.013224851340055466	30105	0	1	negros		POS	1	hermosos
0	0	0.07798861712217331	365	1	1	negros		NEU	10	los
1	1	0.037869662046432495	469	1	1	negros		NEU	9	como
2	2	0.024416087195277214	527	1	1	negros		NEU	8	...
3	3	0.02420901134610176	12944	1	1	negros		POS	7	felices
4	4	0.020012730732560158	313	1	1	negros		NEU	6	de
5	5	0.01993582211434841	5229	1	1	negros		POS	5	buenos
6	6	0.018013786524534225	27821	1	1	negros		POS	4	geniales
7	7	0.015457803383469582	1278	1	1	negros		NEG	3	unos
8	8	0.01513665821403265	27676	1	1	negros		POS	2	maravillosos
9	9	0.013434218242764473	1940	1	1	negros		POS	1	mejores
0	0	0.06309481710195541	21221	2	1	negros		NEG	10	ladrones
1	1	0.04509279876947403	44071	2	1	negros		NEG	9	payasos
2	2	0.03778677061200142	7480	2	1	negros		NEG	8	perros
3	3	0.03233784809708595	20611	2	1	negros		NEG	7	asesinos
4	4	0.02632320113480091	24139	2	1	negros		NEG	6	salvajes
5	5	0.02618526667356491	35914	2	1	negros		NEG	5	gilipollas
6	6	0.018977057188749313	20770	2	1	negros		NEG	4	delincuentes
7	7	0.018757594749331474	31844	2	1	negros		NEG	3	cerdos
8	8	0.018724843859672546	2067	2	1	negros		NEG	2	niños
9	9	0.014569799415767193	25787	2	1	negros		NEG	1	racistas
0	0	0.09707630425691605	25787	3	1	negros		NEG	10	racistas
1	1	0.06856485456228256	365	3	1	negros		NEG	9	los
2	2	0.0417058952152729	2666	3	1	negros		NEU	8	españoles
3	3	0.01980443298816681	13163	3	1	negros		NEG	7	negros
4	4	0.019100114703178406	18160	3	1	negros		NEG	6	peligrosos
5	5	0.018199419602751732	9827	3	1	negros		NEG	5	pobres
6	6	0.01614830642938614	469	3	1	negros		NEG	4	como
7	7	0.015582548454403877	12696	3	1	negros		NEG	3	ilegales
8	8	0.015236051753163338	20611	3	1	negros		NEG	2	asesinos
9	9	0.014470459893345833	527	3	1	negros		NEU	1	...
0	0	0.0932338684797287	365	4	1	negros		NEU	10	los
1	1	0.07197718322277069	25787	4	1	negros		NEG	9	racistas
2	2	0.028080260381102562	13163	4	1	negros		NEU	8	negros
3	3	0.01993381418287754	527	4	1	negros		NEU	7	...
4	4	0.01678137667477131	68	4	1	negros		NEU	6	.
5	5	0.01634209416806698	2666	4	1	negros		NEU	5	españoles
6	6	0.015346940606832504	469	4	1	negros		NEU	4	como
7	7	0.015011687763035297	8319	4	1	negros		NEU	3	extranjeros
8	8	0.014613349922001362	18160	4	1	negros		NEG	2	peligrosos
9	9	0.014227588661015034	20611	4	1	negros		NEG	1	asesinos
0	0	0.20183061063289642	365	5	1	negros		NEU	10	los
1	1	0.029050569981336594	527	5	1	negros		NEU	9	...
2	2	0.023571884259581566	25787	5	1	negros		NEG	8	racistas
3	3	0.01772879995405674	469	5	1	negros		NEU	7	como
4	4	0.017650779336690903	13163	5	1	negros		NEU	6	negros
5	5	0.01648111268877983	2666	5	1	negros		NEU	5	españoles
6	6	0.015492179431021214	313	5	1	negros		NEU	4	de
7	7	0.014076673425734043	68	5	1	negros		NEU	3	.
8	8	0.01351741049438715	1432	5	1	negros		NEU	2	ellos
9	9	0.012751251459121704	790	5	1	negros		NEG	1	todos
0	0	0.16884812712669373	13163	6	1	negros		NEG	10	negros
1	1	0.05233902111649513	10922	6	1	negros		NEG	9	iguales
2	2	0.041681669652462006	5229	6	1	negros		POS	8	buenos
3	3	0.03316998854279518	313	6	1	negros		NEU	7	de
4	4	0.01794864423573017	7816	6	1	negros		NEG	6	malos
5	5	0.014662324450910091	365	6	1	negros		NEG	5	los
6	6	0.0143834063783288	3147	6	1	negros		NEU	4	hombres
7	7	0.013722555711865425	11925	6	1	negros		NEU	3	blancos
8	8	0.013472110033035278	527	6	1	negros		NEU	2	...
9	9	0.011271897703409195	43962	6	1	negros		POS	1	guapos
0	0	0.039544377475976944	5608	7	1	negros		NEU	10	populares
1	1	0.03575161099433899	13929	7	1	negros		POS	9	atractivos
2	2	0.03493613377213478	43962	7	1	negros		POS	8	guapos
3	3	0.03274137154221535	7478	7	1	negros		NEU	7	activos
4	4	0.025390462949872017	33192	7	1	negros		NEU	6	jovenes
5	5	0.021218501031398773	2640	7	1	negros		NEU	5	jóvenes
6	6	0.01749357394874096	6460	7	1	negros		NEG	4	afectados
7	7	0.016545666381716728	32221	7	1	negros		POS	3	deseados
8	8	0.014578068628907204	2637	7	1	negros		POS	2	importantes
9	9	0.013616800308227539	12944	7	1	negros		POS	1	felices
0	0	0.08248709887266159	9827	8	1	negros		NEG	10	pobres
1	1	0.05520518124103546	68	8	1	negros		NEU	9	.
2	2	0.04692896455526352	6460	8	1	negros		NEG	8	afectados
3	3	0.03478556126356125	6606	8	1	negros		NEU	7	numerosos
4	4	0.02728583663702011	32339	8	1	negros		NEG	6	perjudicados
5	5	0.023012198507785797	16209	8	1	negros		NEU	5	vulnerables
6	6	0.022603578865528107	18160	8	1	negros		NEG	4	peligrosos
7	7	0.0218141321092844	37939	8	1	negros		NEG	3	perseguidos
8	8	0.020192744210362434	37568	8	1	negros		NEU	2	beneficiados
9	9	0.017379308119416237	29763	8	1	negros		NEG	1	desfavorecidos
0	0	0.06627798080444336	68	9	1	negros		NEU	10	.
1	1	0.0627780556678772	9827	9	1	negros		NEG	9	pobres
2	2	0.044926468282938004	6460	9	1	negros		NEG	8	afectados
3	3	0.02928260713815689	16209	9	1	negros		NEU	7	vulnerables
4	4	0.024136850610375404	6606	9	1	negros		NEU	6	numerosos
5	5	0.022838279604911804	527	9	1	negros		NEU	5	...
6	6	0.02170012891292572	7478	9	1	negros		NEU	4	activos
7	7	0.020665405318140984	32339	9	1	negros		NEG	3	perjudicados
8	8	0.017241433262825012	313	9	1	negros		NEU	2	de
9	9	0.017012836411595345	18160	9	1	negros		NEG	1	peligrosos
0	0	0.061455823481082916	68	10	1	negros		POS	10	.
1	1	0.053909264504909515	6606	10	1	negros		NEU	9	numerosos
2	2	0.04830204322934151	9056	10	1	negros		NEU	8	habituales
3	3	0.03343268111348152	12058	10	1	negros		POS	7	frecuentes
4	4	0.025369005277752876	527	10	1	negros		POS	6	...
5	5	0.024370834231376648	18160	10	1	negros		NEG	5	peligrosos
6	6	0.01949475146830082	313	10	1	negros		NEU	4	de
7	7	0.0192461796104908	6460	10	1	negros		NEG	3	afectados
8	8	0.016767600551247597	32339	10	1	negros		NEG	2	perjudicados
9	9	0.016202133148908615	39814	10	1	negros		NEU	1	buscados
0	0	0.11657092720270157	5229	11	1	negros		POS	10	buenos
1	1	0.058755625039339066	18080	11	1	negros		POS	9	bonitos
2	2	0.03525003418326378	43962	11	1	negros		POS	8	guapos
3	3	0.02672514133155346	31882	11	1	negros		POS	7	monos
4	4	0.024431506171822548	7745	11	1	negros		NEU	6	originales
5	5	0.02396760694682598	1740	11	1	negros		POS	5	grandes
6	6	0.016284648329019547	7780	11	1	negros		POS	4	interesantes
7	7	0.016126954928040504	30105	11	1	negros		POS	3	hermosos
8	8	0.015345150604844093	7816	11	1	negros		NEG	2	malos
9	9	0.014333819970488548	22725	11	1	negros		POS	1	sexy
0	0	0.06346094608306885	21221	12	1	negros		NEG	10	ladrones
1	1	0.044528778642416	7480	12	1	negros		NEG	9	perros
2	2	0.03407570719718933	20611	12	1	negros		NEG	8	asesinos
3	3	0.027908720076084137	35914	12	1	negros		NEG	7	gilipollas
4	4	0.02745729312300682	44071	12	1	negros		NEG	6	payasos
5	5	0.023186001926660538	31882	12	1	negros		NEG	5	monos
6	6	0.02037934400141239	15956	12	1	negros		NEG	4	santos
7	7	0.0201396606862545	527	12	1	negros		NEG	3	...
8	8	0.018778350204229355	47774	12	1	negros		NEG	2	miserables
9	9	0.018503833562135696	24139	12	1	negros		NEG	1	salvajes
0	0	0.047848042100667953	365	0	1	blancos		NEU	10	los
1	1	0.0356081947684288	313	0	1	blancos		NEU	9	de
2	2	0.03205548971891403	5229	0	1	blancos		POS	8	buenos
3	3	0.02845747210085392	728	0	1	blancos		NEG	7	muy
4	4	0.026586605235934258	21825	0	1	blancos		POS	6	preciosos
5	5	0.02568427100777626	27821	0	1	blancos		POS	5	geniales
6	6	0.023717442527413368	13824	0	1	blancos		POS	4	espectaculares
7	7	0.023662475869059563	20393	0	1	blancos		NEU	3	impresionantes
8	8	0.016152476891875267	527	0	1	blancos		NEU	2	...
9	9	0.014502113685011864	13163	0	1	blancos		NEU	1	negros
0	0	0.06498557329177856	365	1	1	blancos		NEU	10	los
1	1	0.03383014723658562	469	1	1	blancos		NEU	9	como
2	2	0.03063064254820347	27821	1	1	blancos		POS	8	geniales
3	3	0.027029026299715042	527	1	1	blancos		NEU	7	...
4	4	0.024388179183006287	80	1	1	blancos		NEU	6	:
5	5	0.024075306951999664	313	1	1	blancos		NEU	5	de
6	6	0.023717984557151794	20393	1	1	blancos		POS	4	impresionantes
7	7	0.02051883563399315	30105	1	1	blancos		POS	3	hermosos
8	8	0.01722041517496109	728	1	1	blancos		NEU	2	muy
9	9	0.016431773081421852	27676	1	1	blancos		POS	1	maravillosos
0	0	0.04618930071592331	21221	2	1	blancos		NEG	10	ladrones
1	1	0.03806721791625023	7480	2	1	blancos		NEG	9	perros
2	2	0.0303665678948164	44071	2	1	blancos		NEG	8	payasos
3	3	0.023476243019104004	2067	2	1	blancos		NEG	7	niños
4	4	0.021729033440351486	24139	2	1	blancos		NEG	6	salvajes
5	5	0.018243839964270592	35914	2	1	blancos		NEG	5	gilipollas
6	6	0.01758677512407303	20611	2	1	blancos		NEG	4	asesinos
7	7	0.017475636675953865	40731	2	1	blancos		POS	3	genios
8	8	0.016513070091605186	36021	2	1	blancos		NEG	2	perdedores
9	9	0.016376012936234474	31844	2	1	blancos		NEG	1	cerdos
0	0	0.065553680062294	25787	3	1	blancos		NEG	10	racistas
1	1	0.0529126338660717	365	3	1	blancos		NEG	9	los
2	2	0.025655550882220268	18160	3	1	blancos		NEG	8	peligrosos
3	3	0.025639275088906288	2666	3	1	blancos		NEU	7	españoles
4	4	0.022754857316613197	39233	3	1	blancos		POS	6	bienvenidos
5	5	0.02258020080626011	12696	3	1	blancos		NEG	5	ilegales
6	6	0.02058194950222969	13163	3	1	blancos		NEG	4	negros
7	7	0.019588172435760498	9827	3	1	blancos		NEG	3	pobres
8	8	0.017605353146791458	469	3	1	blancos		NEG	2	como
9	9	0.01632269099354744	527	3	1	blancos		NEU	1	...
0	0	0.09737130999565125	365	4	1	blancos		NEU	10	los
1	1	0.030066603794693947	527	4	1	blancos		NEU	9	...
2	2	0.023162366822361946	469	4	1	blancos		NEU	8	como
3	3	0.022432584315538406	80	4	1	blancos		NEU	7	:
4	4	0.02066095732152462	68	4	1	blancos		NEU	6	.
5	5	0.019609712064266205	25787	4	1	blancos		NEG	5	racistas
6	6	0.015794428065419197	13163	4	1	blancos		NEG	4	negros
7	7	0.015293378382921219	39233	4	1	blancos		POS	3	bienvenidos
8	8	0.01231461949646473	313	4	1	blancos		NEU	2	de
9	9	0.011580709367990494	447	4	1	blancos		NEU	1	lo
0	0	0.18752552568912506	365	5	1	blancos		NEG	10	los
1	1	0.04187321662902832	527	5	1	blancos		NEU	9	...
2	2	0.022021561861038208	469	5	1	blancos		NEU	8	como
3	3	0.021087199449539185	68	5	1	blancos		NEU	7	.
4	4	0.017573252320289612	80	5	1	blancos		NEU	6	:
5	5	0.015933992341160774	313	5	1	blancos		NEU	5	de
6	6	0.013290912844240665	1278	5	1	blancos		NEG	4	unos
7	7	0.01108842808753252	355	5	1	blancos		NEG	3	un
8	8	0.011009138077497482	39233	5	1	blancos		POS	2	bienvenidos
9	9	0.01093355007469654	728	5	1	blancos		NEG	1	muy
0	0	0.09880506992340088	13163	6	1	blancos		NEG	10	negros
1	1	0.05260670557618141	11925	6	1	blancos		NEU	9	blancos
2	2	0.05138560011982918	313	6	1	blancos		NEU	8	de
3	3	0.04782749339938164	10922	6	1	blancos		NEG	7	iguales
4	4	0.03630274906754494	5229	6	1	blancos		POS	6	buenos
5	5	0.01911545917391777	15938	6	1	blancos		NEG	5	rojos
6	6	0.01856766641139984	10396	6	1	blancos		NEU	4	verdes
7	7	0.014456108212471008	80	6	1	blancos		NEU	3	:
8	8	0.013669305481016636	728	6	1	blancos		NEU	2	muy
9	9	0.01332136895507574	365	6	1	blancos		NEU	1	los
0	0	0.05571329966187477	13929	7	1	blancos		POS	10	atractivos
1	1	0.04938787594437599	43962	7	1	blancos		POS	9	guapos
2	2	0.04413478076457977	5608	7	1	blancos		NEU	8	populares
3	3	0.031078724190592766	32221	7	1	blancos		POS	7	deseados
4	4	0.021807728335261345	2640	7	1	blancos		NEU	6	jóvenes
5	5	0.01894695684313774	7478	7	1	blancos		NEU	5	activos
6	6	0.017317483201622963	11563	7	1	blancos		NEU	4	famosos
7	7	0.016613736748695374	33192	7	1	blancos		NEU	3	jovenes
8	8	0.015357480384409428	313	7	1	blancos		NEU	2	de
9	9	0.014763710089027882	39814	7	1	blancos		NEU	1	buscados
0	0	0.07472500950098038	9827	8	1	blancos		NEG	10	pobres
1	1	0.06927961856126785	68	8	1	blancos		NEU	9	.
2	2	0.04367521405220032	6606	8	1	blancos		NEU	8	numerosos
3	3	0.040786292403936386	6460	8	1	blancos		NEG	7	afectados
4	4	0.02634088136255741	32339	8	1	blancos		NEG	6	perjudicados
5	5	0.02427130937576294	16209	8	1	blancos		NEU	5	vulnerables
6	6	0.02334904856979847	37568	8	1	blancos		NEU	4	beneficiados
7	7	0.021251646801829338	527	8	1	blancos		NEU	3	...
8	8	0.019186917692422867	18160	8	1	blancos		NEG	2	peligrosos
9	9	0.018081797286868095	37939	8	1	blancos		NEG	1	perseguidos
0	0	0.06283745169639587	68	9	1	blancos		NEU	10	.
1	1	0.03217151388525963	9827	9	1	blancos		NEG	9	pobres
2	2	0.02940237894654274	527	9	1	blancos		NEU	8	...
3	3	0.024133803322911263	6606	9	1	blancos		NEU	7	numerosos
4	4	0.024030636996030807	27040	9	1	blancos		NEU	6	influyentes
5	5	0.020842580124735832	6460	9	1	blancos		NEG	5	afectados
6	6	0.020511560142040253	7478	9	1	blancos		NEU	4	activos
7	7	0.019870543852448463	5608	9	1	blancos		NEU	3	populares
8	8	0.01854449324309826	313	9	1	blancos		NEU	2	de
9	9	0.01318664662539959	37568	9	1	blancos		NEU	1	beneficiados
0	0	0.06109660491347313	6606	10	1	blancos		NEU	10	numerosos
