	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.03982352837920189	5562	0	13	negros	AQ	10	necesarios
1	1	0.03697806969285011	9245	0	13	negros	AQ	9	malos
2	2	0.02921687439084053	9416	0	13	negros	AQ	8	verdes
3	3	0.027448704466223717	10423	0	13	negros	NC	7	negros
4	4	0.022254599258303642	4174	0	13	negros	AQ	6	buenos
5	5	0.015461069531738758	17395	0	13	negros	AQ	5	perfectos
6	6	0.014163324609398842	49244	0	13	negros	AQ	4	aburridos
7	7	0.01330630388110876	10578	0	13	negros	AQ	3	baratos
8	8	0.012606171891093254	10805	0	13	negros	AQ	2	blancos
9	9	0.011152675375342369	40019	0	13	negros	AQ	1	sucios
0	0	0.020105890929698944	4174	1	13	negros	AQ	10	buenos
1	1	0.011617186479270458	9416	1	13	negros	AQ	9	verdes
2	2	0.011082585901021957	9245	1	13	negros	AQ	8	malos
3	3	0.010169477201998234	316	1	13	negros	DA	7	los
4	4	0.007214413955807686	1605	1	13	negros	AQ	6	grandes
5	5	0.0067840334959328175	2583	1	13	negros	AQ	5	gratis
6	6	0.006318224593997002	5562	1	13	negros	AQ	4	necesarios
7	7	0.0056188106536865234	10423	1	13	negros	AQ	3	negros
8	8	0.00558204110711813	11461	1	13	negros	AQ	2	viejos
9	9	0.004998893942683935	10578	1	13	negros	AQ	1	baratos
0	0	0.07702124118804932	21996	2	13	negros	NC	10	jovenes
1	1	0.05348972976207733	8413	2	13	negros	NC	9	dias
2	2	0.04467571899294853	28171	2	13	negros	NC	8	anos
3	3	0.02519020065665245	679	2	13	negros	NC	7	años
4	4	0.010675767436623573	1662	2	13	negros	NC	6	niños
5	5	0.00801216159015894	7027	2	13	negros	NC	5	muertos
6	6	0.007938052527606487	3638	2	13	negros	NC	4	tiempos
7	7	0.006535875611007214	7382	2	13	negros	NC	3	adolescentes
8	8	0.006153087131679058	27105	2	13	negros	NC	2	ninos
9	9	0.00608000997453928	4695	2	13	negros	NC	1	pasos
0	0	0.03598915785551071	2583	3	13	negros	AQ	10	gratis
1	1	0.019303293898701668	9245	3	13	negros	AQ	9	malos
2	2	0.017909260466694832	4174	3	13	negros	AQ	8	buenos
3	3	0.016852084547281265	9416	3	13	negros	AQ	7	verdes
4	4	0.016494866460561752	32820	3	13	negros	AQ	6	bienvenidos
5	5	0.01579810120165348	10578	3	13	negros	AQ	5	baratos
6	6	0.01513291709125042	19900	3	13	negros	AQ	4	caros
7	7	0.01227553840726614	8111	3	13	negros	AQ	3	pobres
8	8	0.011243094690144062	49244	3	13	negros	AQ	2	aburridos
9	9	0.00856354646384716	10423	3	13	negros	AQ	1	negros
0	0	0.01927163451910019	5562	4	13	negros	AQ	10	necesarios
1	1	0.012482411228120327	9245	4	13	negros	AQ	9	malos
2	2	0.011603228747844696	4174	4	13	negros	AQ	8	buenos
3	3	0.009886790998280048	18470	4	13	negros	AQ	7	imprescindibles
4	4	0.00988059863448143	316	4	13	negros	DA	6	los
5	5	0.0062986621633172035	9951	4	13	negros	AQ	5	clásicos
6	6	0.0059294868260622025	1662	4	13	negros	NC	4	niños
7	7	0.005667228251695633	4795	4	13	negros	AQ	3	posibles
8	8	0.005520578473806381	17395	4	13	negros	AQ	2	perfectos
9	9	0.005455642472952604	9961	4	13	negros	NC	1	cuentos
0	0	0.014228264801204205	9245	5	13	negros	AQ	10	malos
1	1	0.014121148735284805	49244	5	13	negros	AQ	9	aburridos
2	2	0.01359481830149889	4174	5	13	negros	AQ	8	buenos
3	3	0.01355927623808384	316	5	13	negros	DA	7	los
4	4	0.01320651639252901	5562	5	13	negros	AQ	6	necesarios
5	5	0.012769895605742931	18470	5	13	negros	AQ	5	imprescindibles
6	6	0.012334257364273071	17395	5	13	negros	AQ	4	perfectos
7	7	0.00978428777307272	32820	5	13	negros	AQ	3	bienvenidos
8	8	0.008747107349336147	3722	5	13	negros	AQ	2	locales
9	9	0.008325226604938507	2583	5	13	negros	AQ	1	gratis
0	0	0.014573926106095314	2562	6	13	negros	AQ	10	bueno
1	1	0.008674532175064087	2583	6	13	negros	AQ	9	gratis
2	2	0.008067910559475422	4174	6	13	negros	AQ	8	buenos
3	3	0.006518111564218998	1578	6	13	negros	AQ	7	general
4	4	0.005535097327083349	726	6	13	negros	DI	6	todos
5	5	0.0052261739037930965	751	6	13	negros	AQ	5	mejor
6	6	0.004973463714122772	1386	6	13	negros	PI	4	algunos
7	7	0.004950781352818012	367	6	13	negros	CS	3	si
8	8	0.00461623165756464	980	6	13	negros	RG	2	mucho
9	9	0.0046036094427108765	9000	6	13	negros	AQ	1	recientes
0	0	0.0897214338183403	19112	7	13	negros	AQ	10	vendidos
1	1	0.06179385259747505	37113	7	13	negros	AQ	9	visitados
2	2	0.026252921670675278	43564	7	13	negros	AQ	8	buscados
3	3	0.025602329522371292	10578	7	13	negros	AQ	7	baratos
4	4	0.025051021948456764	18	7	13	negros	Fp	6	.
5	5	0.024817775934934616	8323	7	13	negros	AQ	5	bajos
6	6	0.024305468425154686	6390	7	13	negros	AQ	4	altos
7	7	0.020310882478952408	19900	7	13	negros	AQ	3	caros
8	8	0.019606562331318855	6571	7	13	negros	AQ	2	populares
9	9	0.015903351828455925	9000	7	13	negros	AQ	1	recientes
