	index	score	token	sentence	model	dimension	pos_tag	sentiment	rsv	word
0	0	0.01440607663244009	1733	0	6	negros		POS	10	grandes
1	1	0.013807126320898533	4492	0	6	negros		NEG	9	demasiado
2	2	0.010134239681065083	727	0	6	negros		NEU	8	muy
3	3	0.009976666420698166	665	0	6	negros		POS	7	todo
4	4	0.009899178519845009	2192	0	6	negros		POS	6	familia
5	5	0.008745263330638409	2804	0	6	negros		NEU	5	fácil
6	6	0.0084818284958601	3334	0	6	negros		NEG	4	difícil
7	7	0.00813092291355133	275	0	6	negros		NEU	3	
8	8	0.007618739735335112	6002	0	6	negros		NEG	2	duro
9	9	0.0072472854517400265	3149	0	6	negros		NEU	1	hombres
0	0	0.029698247089982033	3149	1	6	negros		NEU	10	hombres
1	1	0.02178432233631611	1733	1	6	negros		POS	9	grandes
2	2	0.015098830685019493	275	1	6	negros		NEU	8	
3	3	0.013018674217164516	6959	1	6	negros		POS	7	fuertes
4	4	0.012637731619179249	2063	1	6	negros		NEU	6	niños
5	5	0.012628376483917236	1821	1	6	negros		NEU	5	mujeres
6	6	0.01070112083107233	1938	1	6	negros		POS	4	mejores
7	7	0.010324315167963505	7485	1	6	negros		NEU	3	perros
8	8	0.00880370568484068	7301	1	6	negros		NEU	2	hermanos
9	9	0.007690011523663998	6002	1	6	negros		NEG	1	duro
0	0	0.04328851029276848	9920	2	6	negros		NEG	10	cuantos
1	1	0.0385892316699028	41403	2	6	negros		POS	9	genios
2	2	0.02576507069170475	20782	2	6	negros		NEG	8	asesinos
3	3	0.025248616933822632	275	2	6	negros		NEG	7	
4	4	0.022414647042751312	47459	2	6	negros		NEG	6	horrores
5	5	0.017978549003601074	21405	2	6	negros		NEG	5	ladrones
6	6	0.01369416993111372	5442	2	6	negros		NEU	4	artistas
7	7	0.010826370678842068	3128	2	6	negros		NEU	3	amigos
8	8	0.01080870907753706	26166	2	6	negros		NEG	2	monstruos
9	9	0.010334142483770847	453	2	6	negros		NEG	1	ex
0	0	0.07592394202947617	3149	3	6	negros		NEU	10	hombres
1	1	0.026388777419924736	1821	3	6	negros		NEU	9	mujeres
2	2	0.02244666963815689	7485	3	6	negros		NEG	8	perros
3	3	0.020587148144841194	2063	3	6	negros		NEU	7	niños
4	4	0.017327915877103806	20782	3	6	negros		NEG	6	asesinos
5	5	0.014822879806160927	1733	3	6	negros		POS	5	grandes
6	6	0.011812872253358364	275	3	6	negros		NEU	4	
7	7	0.011122000403702259	4319	3	6	negros		NEU	3	animales
8	8	0.010837661102414131	2165	3	6	negros		NEU	2	hombre
9	9	0.009994486346840858	7301	3	6	negros		NEU	1	hermanos
0	0	0.06624220311641693	3149	4	6	negros		NEU	10	hombres
1	1	0.03187612071633339	2063	4	6	negros		NEU	9	niños
2	2	0.021434931084513664	275	4	6	negros		NEU	8	
3	3	0.01881694234907627	1821	4	6	negros		NEU	7	mujeres
4	4	0.017922813072800636	1733	4	6	negros		POS	6	grandes
5	5	0.012601234018802643	7890	4	6	negros		NEU	5	adultos
6	6	0.009384826757013798	3059	4	6	negros		NEU	4	mayores
7	7	0.009309732355177402	10782	4	6	negros		POS	3	ricos
8	8	0.009270678274333477	2165	4	6	negros		NEU	2	hombre
9	9	0.00856789480894804	13080	4	6	negros		NEU	1	bebés
0	0	0.07026153802871704	3149	5	6	negros		NEU	10	hombres
1	1	0.02944418415427208	7485	5	6	negros		NEG	9	perros
2	2	0.02489229291677475	275	5	6	negros		NEU	8	
3	3	0.020167622715234756	1821	5	6	negros		NEU	7	mujeres
4	4	0.018040800467133522	2063	5	6	negros		NEU	6	niños
5	5	0.009989716112613678	2165	5	6	negros		NEU	5	hombre
6	6	0.009244618006050587	1733	5	6	negros		POS	4	grandes
7	7	0.007929785177111626	4319	5	6	negros		NEG	3	animales
8	8	0.007916818372905254	4035	5	6	negros		NEU	2	pareja
9	9	0.007554914802312851	1205	5	6	negros		NEU	1	mujer
0	0	0.07752861082553864	275	6	6	negros		NEU	10	
1	1	0.017787232995033264	1733	6	6	negros		NEU	9	grandes
2	2	0.010770727880299091	1938	6	6	negros		POS	8	mejores
3	3	0.010180845856666565	3149	6	6	negros		NEU	7	hombres
4	4	0.009951818734407425	922	6	6	negros		NEU	6	4
5	5	0.009078196249902248	316	6	6	negros		NEU	5	p
6	6	0.008404121734201908	5251	6	6	negros		POS	4	buenos
7	7	0.007957257330417633	4035	6	6	negros		NEU	3	pareja
8	8	0.007294333539903164	13484	6	6	negros		NEU	2	largos
9	9	0.007088962942361832	311	6	6	negros		NEU	1	d
0	0	0.149390310049057	1733	7	6	negros		POS	10	grandes
1	1	0.08501732349395752	6959	7	6	negros		POS	9	fuertes
2	2	0.04970332607626915	13920	7	6	negros		NEG	8	duros
3	3	0.046460092067718506	13484	7	6	negros		NEU	7	largos
4	4	0.03375266492366791	7700	7	6	negros		NEU	6	altos
5	5	0.03031877614557743	10782	7	6	negros		POS	5	ricos
6	6	0.02150247059762478	8695	7	6	negros		NEU	4	chicos
7	7	0.01986125111579895	3838	7	6	negros		POS	3	grande
8	8	0.01830737479031086	40360	7	6	negros		NEU	2	buscados
9	9	0.018088221549987793	15119	7	6	negros		NEU	1	cortos
0	0	0.15519678592681885	1733	8	6	negros		POS	10	grandes
1	1	0.10466925799846649	6959	8	6	negros		NEU	9	fuertes
2	2	0.051677752286195755	13920	8	6	negros		NEG	8	duros
3	3	0.04842634126543999	40360	8	6	negros		NEU	7	buscados
