	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.11756183952093124	7964	0	5	españoles	NC	10	españoles
1	1	0.03620826080441475	16592	0	5	españoles	AQ	9	catalanes
2	2	0.027655819430947304	7743	0	5	españoles	AQ	8	extranjeros
3	3	0.014181035570800304	14178	0	5	españoles	AQ	7	franceses
4	4	0.013033643364906311	17178	0	5	españoles	AQ	6	musulmanes
5	5	0.012546603567898273	8400	0	5	españoles	AQ	5	europeos
6	6	0.012481299228966236	18441	0	5	españoles	AQ	4	judíos
7	7	0.011770986951887608	9616	0	5	españoles	AQ	3	cristianos
8	8	0.010729632340371609	14005	0	5	españoles	AQ	2	alemanes
9	9	0.00953543558716774	18332	0	5	españoles	AQ	1	italianos
0	0	0.04461072385311127	33511	1	5	españoles	AQ	10	bienvenidos
1	1	0.03429987281560898	7964	1	5	españoles	AQ	9	españoles
2	2	0.023514388129115105	22664	1	5	españoles	NC	8	jovenes
3	3	0.01603124476969242	4090	1	5	españoles	AQ	7	jóvenes
4	4	0.0124482661485672	9616	1	5	españoles	AQ	6	cristianos
5	5	0.011582761071622372	2274	1	5	españoles	AQ	5	amigos
6	6	0.010011128149926662	3988	1	5	españoles	AQ	4	buenos
7	7	0.009591856971383095	1292	1	5	españoles	PI	3	muchos
8	8	0.009310410358011723	5149	1	5	españoles	AQ	2	pequeños
9	9	0.009073223918676376	2567	1	5	españoles	NC	1	niños
0	0	0.08200029283761978	34851	2	5	españoles	AQ	10	afortunados
1	1	0.04706079140305519	2274	2	5	españoles	NC	9	amigos
2	2	0.04216635599732399	3497	2	5	españoles	PI	8	pocos
3	3	0.025397757068276405	18618	2	5	españoles	AQ	7	locos
4	4	0.024281464517116547	8450	2	5	españoles	PI	6	cuantos
5	5	0.022310907021164894	37637	2	5	españoles	NC	5	privilegiados
6	6	0.02028239145874977	3988	2	5	españoles	AQ	4	buenos
7	7	0.016475224867463112	42100	2	5	españoles	AQ	3	guapos
8	8	0.011883988045156002	22664	2	5	españoles	NC	2	jovenes
9	9	0.011613843962550163	14207	2	5	españoles	AQ	1	únicos
0	0	0.04556262120604515	7743	3	5	españoles	AQ	10	extranjeros
1	1	0.038041844964027405	7964	3	5	españoles	AQ	9	españoles
2	2	0.03536933287978172	10091	3	5	españoles	NC	8	inmigrantes
3	3	0.026140818372368813	17178	3	5	españoles	AQ	7	musulmanes
4	4	0.01619071327149868	18441	3	5	españoles	AQ	6	judíos
5	5	0.012233367189764977	14139	3	5	españoles	AQ	5	refugiados
6	6	0.011332178488373756	14005	3	5	españoles	AQ	4	alemanes
7	7	0.011106150224804878	7777	3	5	españoles	AQ	3	pobres
8	8	0.010775500908493996	32034	3	5	españoles	AQ	2	desplazados
9	9	0.009717934764921665	9616	3	5	españoles	AQ	1	cristianos
0	0	0.044443510472774506	7964	4	5	españoles	AQ	10	españoles
1	1	0.03243163973093033	3831	4	5	españoles	NC	9	ciudadanos
2	2	0.028858449310064316	7743	4	5	españoles	AQ	8	extranjeros
3	3	0.020831486210227013	16592	4	5	españoles	AQ	7	catalanes
4	4	0.019114114344120026	33511	4	5	españoles	AQ	6	bienvenidos
5	5	0.013366383500397205	9616	4	5	españoles	AQ	5	cristianos
6	6	0.011327394284307957	17178	4	5	españoles	AQ	4	musulmanes
7	7	0.01091474574059248	9540	4	5	españoles	AQ	3	independientes
8	8	0.008245673961937428	11977	4	5	españoles	AQ	2	fieles
9	9	0.008176833391189575	18441	4	5	españoles	AQ	1	judíos
0	0	0.04797261580824852	33511	5	5	españoles	AQ	10	bienvenidos
1	1	0.047773923724889755	7743	5	5	españoles	AQ	9	extranjeros
2	2	0.03192558139562607	8359	5	5	españoles	NC	8	turistas
3	3	0.021089106798171997	1292	5	5	españoles	PI	7	muchos
4	4	0.01566244103014469	7268	5	5	españoles	AQ	6	numerosos
5	5	0.015300964005291462	8992	5	5	españoles	AQ	5	excelentes
6	6	0.013946575112640858	18890	5	5	españoles	AQ	4	increíbles
7	7	0.013683008030056953	23136	5	5	españoles	AQ	3	curiosos
8	8	0.012686433270573616	3497	5	5	españoles	PI	2	pocos
9	9	0.011821706779301167	7964	5	5	españoles	AQ	1	españoles
0	0	0.1558474898338318	7964	6	5	españoles	NC	10	españoles
1	1	0.042565152049064636	7743	6	5	españoles	AQ	9	extranjeros
2	2	0.04205549508333206	16592	6	5	españoles	AQ	8	catalanes
3	3	0.020018303766846657	33511	6	5	españoles	AQ	7	bienvenidos
4	4	0.016010504215955734	8400	6	5	españoles	AQ	6	europeos
5	5	0.014392830431461334	9199	6	5	españoles	AQ	5	iguales
6	6	0.01117213536053896	17178	6	5	españoles	AQ	4	musulmanes
7	7	0.010807297192513943	2762	6	5	españoles	AQ	3	gratis
8	8	0.010053824633359909	9616	6	5	españoles	AQ	2	cristianos
9	9	0.00955724623054266	14178	6	5	españoles	AQ	1	franceses
0	0	0.05675218254327774	5149	7	5	españoles	AQ	10	pequeños
1	1	0.030982831493020058	10674	7	5	españoles	AQ	9	famosos
2	2	0.03016173467040062	4090	7	5	españoles	AQ	8	jóvenes
3	3	0.02982771396636963	42100	7	5	españoles	AQ	7	guapos
4	4	0.023809341713786125	12577	7	5	españoles	AQ	6	queridos
5	5	0.022784298285841942	6270	7	5	españoles	AQ	5	populares
6	6	0.02225588448345661	2634	7	5	españoles	AQ	4	importantes
7	7	0.022221295163035393	34851	7	5	españoles	AQ	3	afortunados
8	8	0.021517127752304077	11953	7	5	españoles	AQ	2	destacados
9	9	0.01955942064523697	45736	7	5	españoles	VMP	1	desfavorecidos
0	0	0.11842203885316849	15367	8	5	españoles	AQ	10	vulnerables
1	1	0.057545509189367294	7777	8	5	españoles	AQ	9	pobres
2	2	0.04193073511123657	8084	8	5	españoles	AQ	8	afectados
3	3	0.04061954841017723	5149	8	5	españoles	AQ	7	pequeños
4	4	0.03443633019924164	45736	8	5	españoles	AQ	6	desfavorecidos
5	5	0.026400908827781677	15898	8	5	españoles	AQ	5	poderosos
6	6	0.025526462122797966	18533	8	5	españoles	AQ	4	caros
7	7	0.02422676794230938	8187	8	5	españoles	AQ	3	ricos
8	8	0.020660389214754105	2634	8	5	españoles	AQ	2	importantes
9	9	0.01950853131711483	6270	8	5	españoles	AQ	1	populares
0	0	0.05629066750407219	15367	9	5	españoles	AQ	10	vulnerables
1	1	0.037418827414512634	2634	9	5	españoles	AQ	9	importantes
2	2	0.03379322960972786	45736	9	5	españoles	AQ	8	desfavorecidos
3	3	0.0334145650267601	7777	9	5	españoles	AQ	7	pobres
4	4	0.031481098383665085	15898	9	5	españoles	AQ	6	poderosos
5	5	0.027146272361278534	5149	9	5	españoles	AQ	5	pequeños
6	6	0.02588912658393383	8084	9	5	españoles	AQ	4	afectados
7	7	0.024142367765307426	6270	9	5	españoles	AQ	3	populares
8	8	0.021950410678982735	11535	9	5	españoles	AQ	2	cercanos
9	9	0.02039208821952343	11953	9	5	españoles	AQ	1	destacados
0	0	0.059618815779685974	2634	10	5	españoles	AQ	10	importantes
1	1	0.050105735659599304	11953	10	5	españoles	AQ	9	destacados
2	2	0.03909960761666298	18533	10	5	españoles	AQ	8	caros
3	3	0.028582841157913208	10674	10	5	españoles	AQ	7	famosos
4	4	0.02844318188726902	35795	10	5	españoles	AQ	6	visitados
5	5	0.02775590680539608	7423	10	5	españoles	AQ	5	conocidos
6	6	0.02668836899101734	6270	10	5	españoles	AQ	4	populares
