	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.0190662182867527	275	0	6	españoles		10	
1	1	0.017364393919706345	34754	0	6	españoles	AQ	9	raros
2	2	0.017056694254279137	1733	0	6	españoles	AQ	8	grandes
3	3	0.015002270229160786	922	0	6	españoles	Z	7	4
4	4	0.011185909621417522	4035	0	6	españoles	NC	6	pareja
5	5	0.010769096203148365	3149	0	6	españoles	NC	5	hombres
6	6	0.010551288723945618	2192	0	6	españoles	NC	4	familia
7	7	0.010453106835484505	716	0	6	españoles	Z	3	3
8	8	0.008360013365745544	1821	0	6	españoles	NC	2	mujeres
9	9	0.008223984390497208	2858	0	6	españoles	NC	1	amor
0	0	0.018856627866625786	275	1	6	españoles		10	
1	1	0.018455544486641884	3149	1	6	españoles	NC	9	hombres
2	2	0.01671905256807804	1733	1	6	españoles	AQ	8	grandes
3	3	0.013728500343859196	13920	1	6	españoles	AQ	7	duros
4	4	0.013602036982774734	1817	1	6	españoles	AQ	6	diferentes
5	5	0.011968000791966915	4035	1	6	españoles	NC	5	pareja
6	6	0.010622818022966385	7301	1	6	españoles	NC	4	hermanos
7	7	0.01038038358092308	34754	1	6	españoles	AQ	3	raros
8	8	0.010028747841715813	1821	1	6	españoles	NC	2	mujeres
9	9	0.009896569885313511	10940	1	6	españoles	AQ	1	iguales
0	0	0.061134614050388336	275	2	6	españoles		10	
1	1	0.04401480406522751	41403	2	6	españoles	NC	9	genios
2	2	0.02298121154308319	26166	2	6	españoles	NC	8	monstruos
3	3	0.02056724764406681	453	2	6	españoles	NC	7	ex
4	4	0.019471339881420135	9920	2	6	españoles	PI	6	cuantos
5	5	0.019384335726499557	21405	2	6	españoles	NC	5	ladrones
6	6	0.018563954159617424	1472	2	6	españoles	Z	4	10
7	7	0.013937215320765972	5442	2	6	españoles	NC	3	artistas
8	8	0.012538308277726173	3128	2	6	españoles	NC	2	amigos
9	9	0.01151844672858715	26706	2	6	españoles	NC	1	crack
0	0	0.02667107805609703	275	3	6	españoles		10	
1	1	0.0179563220590353	3149	3	6	españoles	NC	9	hombres
2	2	0.016777532175183296	922	3	6	españoles	Z	8	4
3	3	0.016236424446105957	4035	3	6	españoles	NC	7	pareja
4	4	0.01598726399242878	1733	3	6	españoles	AQ	6	grandes
5	5	0.01580040343105793	7301	3	6	españoles	NC	5	hermanos
6	6	0.01367097906768322	1817	3	6	españoles	AQ	4	diferentes
7	7	0.013644200749695301	32418	3	6	españoles	AQ	3	gemelos
8	8	0.011642578057944775	34754	3	6	españoles	AQ	2	raros
9	9	0.01022254303097725	1821	3	6	españoles	NC	1	mujeres
0	0	0.037475503981113434	275	4	6	españoles		10	
1	1	0.027609944343566895	3149	4	6	españoles	NC	9	hombres
2	2	0.015751488506793976	34754	4	6	españoles	AQ	8	raros
3	3	0.015570234507322311	4035	4	6	españoles	NC	7	pareja
4	4	0.015429160557687283	1733	4	6	españoles	AQ	6	grandes
5	5	0.013991719111800194	5620	4	6	españoles	AQ	5	especiales
6	6	0.013767758384346962	7301	4	6	españoles	AQ	4	hermanos
7	7	0.0133162010461092	10940	4	6	españoles	AQ	3	iguales
8	8	0.013087267056107521	1821	4	6	españoles	NC	2	mujeres
9	9	0.011948409490287304	32418	4	6	españoles	AQ	1	gemelos
0	0	0.04287704452872276	275	5	6	españoles		10	
1	1	0.020173488184809685	34754	5	6	españoles	AQ	9	raros
2	2	0.01787681132555008	1733	5	6	españoles	AQ	8	grandes
3	3	0.01602564938366413	5620	5	6	españoles	AQ	7	especiales
4	4	0.015800684690475464	3149	5	6	españoles	NC	6	hombres
5	5	0.015767086297273636	4035	5	6	españoles	NC	5	pareja
6	6	0.012943357229232788	922	5	6	españoles	Z	4	4
7	7	0.009907297790050507	972	5	6	españoles	Z	3	5
8	8	0.008876983076334	7301	5	6	españoles	NC	2	hermanos
9	9	0.007740929257124662	3396	5	6	españoles	NC	1	fotos
0	0	0.09192987531423569	275	6	6	españoles		10	
1	1	0.018124867230653763	922	6	6	españoles	Z	9	4
2	2	0.016656821593642235	4035	6	6	españoles	NC	8	pareja
3	3	0.012684998102486134	1733	6	6	españoles	AQ	7	grandes
4	4	0.012523542158305645	10940	6	6	españoles	AQ	6	iguales
5	5	0.012270637787878513	972	6	6	españoles	Z	5	5
6	6	0.011191311292350292	716	6	6	españoles	Z	4	3
7	7	0.010483868420124054	32418	6	6	españoles	AQ	3	gemelos
8	8	0.009317505173385143	1135	6	6	españoles	Z	2	6
9	9	0.009048284031450748	3149	6	6	españoles	NC	1	hombres
0	0	0.15843375027179718	1733	7	6	españoles	AQ	10	grandes
1	1	0.04447061941027641	10782	7	6	españoles	AQ	9	ricos
2	2	0.035981133580207825	7700	7	6	españoles	AQ	8	altos
3	3	0.03375617787241936	13920	7	6	españoles	AQ	7	duros
4	4	0.03166554123163223	6959	7	6	españoles	AQ	6	fuertes
5	5	0.024822307750582695	34754	7	6	españoles	AQ	5	raros
6	6	0.02310059778392315	275	7	6	españoles		4	
7	7	0.022570164874196053	13484	7	6	españoles	AQ	3	largos
8	8	0.017604101449251175	18711	7	6	españoles	AQ	2	caros
9	9	0.016110247001051903	40360	7	6	españoles	AQ	1	buscados
0	0	0.14751899242401123	1733	8	6	españoles	AQ	10	grandes
1	1	0.04360503703355789	10782	8	6	españoles	AQ	9	ricos
2	2	0.04324638843536377	34754	8	6	españoles	AQ	8	raros
3	3	0.04096532613039017	13920	8	6	españoles	AQ	7	duros
4	4	0.0377851240336895	7700	8	6	españoles	AQ	6	altos
5	5	0.032079316675662994	6959	8	6	españoles	AQ	5	fuertes
6	6	0.030811097472906113	40360	8	6	españoles	AQ	4	buscados
7	7	0.023604771122336388	18711	8	6	españoles	AQ	3	caros
8	8	0.022050295025110245	11267	8	6	españoles	AQ	2	difíciles
9	9	0.019024066627025604	275	8	6	españoles		1	
0	0	0.16884486377239227	1733	9	6	españoles	AQ	10	grandes
1	1	0.044988274574279785	10782	9	6	españoles	AQ	9	ricos
2	2	0.032902829349040985	7700	9	6	españoles	AQ	8	altos
3	3	0.031168410554528236	4251	9	6	españoles	AQ	7	pequeños
4	4	0.028032809495925903	34754	9	6	españoles	AQ	6	raros
5	5	0.02668132446706295	6959	9	6	españoles	AQ	5	fuertes
6	6	0.024460259824991226	275	9	6	españoles		4	
7	7	0.024284727871418	40360	9	6	españoles	AQ	3	buscados
8	8	0.018316395580768585	18711	9	6	españoles	AQ	2	caros
9	9	0.017724303528666496	13920	9	6	españoles	AQ	1	duros
0	0	0.14104565978050232	1733	10	6	españoles	AQ	10	grandes
1	1	0.06156095862388611	34754	10	6	españoles	AQ	9	raros
2	2	0.055422648787498474	13920	10	6	españoles	AQ	8	duros
3	3	0.0380263477563858	6959	10	6	españoles	AQ	7	fuertes
