	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.03824586421251297	413	0	12	españoles	Z	10	2
1	1	0.027731051668524742	753	0	12	españoles	Z	9	4
2	2	0.02703276462852955	625	0	12	españoles	Z	8	3
3	3	0.02645835280418396	726	0	12	españoles	PI	7	todos
4	4	0.02642589993774891	2323	0	12	españoles	NC	6	hombres
5	5	0.021952742710709572	316	0	12	españoles	DA	5	los
6	6	0.02015007846057415	30	0	12	españoles	Fd	4	:
7	7	0.017957573756575584	572	0	12	españoles	Fs	3	...
8	8	0.017253398895263672	791	0	12	españoles	Z	2	5
9	9	0.0158013254404068	1568	0	12	españoles	NC	1	mujeres
0	0	0.028904832899570465	14994	1	12	españoles	AQ	10	hermosos
1	1	0.023131143301725388	2792	1	12	españoles	AQ	9	jóvenes
2	2	0.02252538688480854	1662	1	12	españoles	NC	8	niños
3	3	0.021810710430145264	413	1	12	españoles	Z	7	2
4	4	0.01995140127837658	625	1	12	españoles	Z	6	3
5	5	0.019363489001989365	2323	1	12	españoles	NC	5	hombres
6	6	0.018081801012158394	726	1	12	españoles	PI	4	todos
7	7	0.013822819106280804	753	1	12	españoles	Z	3	4
8	8	0.012931294739246368	21996	1	12	españoles	NC	2	jovenes
9	9	0.012463330291211605	404	1	12	españoles	Z	1	1
0	0	0.12826383113861084	2578	2	12	españoles	AQ	10	profesionales
1	1	0.031038101762533188	2342	2	12	españoles	NC	9	amigos
2	2	0.026956189423799515	4174	2	12	españoles	AQ	8	buenos
3	3	0.025619320571422577	18	2	12	españoles	Fp	7	.
4	4	0.02345324493944645	1662	2	12	españoles	NC	6	niños
5	5	0.019131742417812347	1291	2	12	españoles	Fp	5	.
6	6	0.017871152609586716	4658	2	12	españoles	NC	4	vecinos
7	7	0.017641820013523102	32087	2	12	españoles	NC	3	chavales
8	8	0.016318319365382195	3657	2	12	españoles	PI	2	pocos
9	9	0.016235830262303352	1523	2	12	españoles	Fs	1	...
0	0	0.07986623793840408	49143	3	12	españoles	AQ	10	simpáticos
1	1	0.05687802657485008	8111	3	12	españoles	AQ	9	pobres
2	2	0.045108675956726074	4174	3	12	españoles	AQ	8	buenos
3	3	0.033985644578933716	1233	3	12	españoles	PI	7	unos
4	4	0.0324314646422863	9003	3	12	españoles	AQ	6	excelentes
5	5	0.024556219577789307	46304	3	12	españoles	AQ	5	encantadores
6	6	0.023829389363527298	22049	3	12	españoles	AQ	4	amables
7	7	0.02072577364742756	22083	3	12	españoles	AQ	3	auténticos
8	8	0.020053405314683914	19114	3	12	españoles	AQ	2	ingleses
9	9	0.019551150500774384	45247	3	12	españoles	AQ	1	educados
0	0	0.06896490603685379	8111	4	12	españoles	AQ	10	pobres
1	1	0.019609985873103142	1605	4	12	españoles	AQ	9	grandes
2	2	0.01809726096689701	4174	4	12	españoles	AQ	8	buenos
3	3	0.017293889075517654	3657	4	12	españoles	PI	7	pocos
4	4	0.016906702890992165	14994	4	12	españoles	AQ	6	hermosos
5	5	0.01649080589413643	1662	4	12	españoles	NC	5	niños
6	6	0.01566426269710064	413	4	12	españoles	Z	4	2
7	7	0.01542377844452858	28058	4	12	españoles	AQ	3	humildes
8	8	0.015422881580889225	1233	4	12	españoles	PI	2	unos
