	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.010409729555249214	316	0	13	españoles	DA	10	los
1	1	0.008658732287585735	2583	0	13	españoles	AQ	9	gratis
2	2	0.008146562613546848	419	0	13	españoles	RG	8	más
3	3	0.007986304350197315	9961	0	13	españoles	NC	7	cuentos
4	4	0.007919644005596638	5351	0	13	españoles	NC	6	españoles
5	5	0.007807769812643528	9245	0	13	españoles	AQ	5	malos
6	6	0.00778081314638257	32820	0	13	españoles	AQ	4	bienvenidos
7	7	0.007499577011913061	625	0	13	españoles	Z	3	3
8	8	0.006747444160282612	4174	0	13	españoles	AQ	2	buenos
9	9	0.00667204987257719	413	0	13	españoles	Z	1	2
0	0	0.014931859448552132	316	1	13	españoles	DA	10	los
1	1	0.009870885871350765	9245	1	13	españoles	AQ	9	malos
2	2	0.008807411417365074	4174	1	13	españoles	AQ	8	buenos
3	3	0.00765498960390687	625	1	13	españoles	Z	7	3
4	4	0.007022534031420946	413	1	13	españoles	Z	6	2
5	5	0.00698853051289916	3870	1	13	españoles	RG	5	asi
6	6	0.006655560806393623	1662	1	13	españoles	NC	4	niños
7	7	0.006579137872904539	952	1	13	españoles	CC	3	mas
8	8	0.005292645655572414	726	1	13	españoles	PI	2	todos
9	9	0.005109174642711878	2583	1	13	españoles	AQ	1	gratis
0	0	0.047867052257061005	8413	2	13	españoles	NC	10	dias
1	1	0.025571757927536964	21996	2	13	españoles	NC	9	jovenes
2	2	0.021149450913071632	3657	2	13	españoles	PI	8	pocos
3	3	0.017531637102365494	49146	2	13	españoles	AQ	7	miserables
4	4	0.017169278115034103	8789	2	13	españoles	PI	6	cuantos
5	5	0.016986025497317314	7027	2	13	españoles	NC	5	muertos
6	6	0.016301732510328293	1233	2	13	españoles	DI	4	unos
7	7	0.013078662566840649	17345	2	13	españoles	NC	3	americanos
8	8	0.012486045248806477	18794	2	13	españoles	AQ	2	locos
9	9	0.012337295338511467	8111	2	13	españoles	AQ	1	pobres
0	0	0.020657027140259743	4174	3	13	españoles	AQ	10	buenos
1	1	0.012766855768859386	9416	3	13	españoles	AQ	9	verdes
2	2	0.011423702351748943	11461	3	13	españoles	AQ	8	viejos
3	3	0.010071598924696445	18470	3	13	españoles	AQ	7	imprescindibles
4	4	0.009860866703093052	2152	3	13	españoles	AQ	6	nuevos
5	5	0.009846137836575508	5351	3	13	españoles	AQ	5	españoles
6	6	0.009686357341706753	9245	3	13	españoles	AQ	4	malos
7	7	0.008932392112910748	7576	3	13	españoles	AQ	3	básicos
8	8	0.007231967989355326	9951	3	13	españoles	AQ	2	clásicos
9	9	0.006961232982575893	32458	3	13	españoles	AQ	1	tontos
0	0	0.007523672189563513	316	4	13	españoles	DA	10	los
1	1	0.006371343042701483	1662	4	13	españoles	NC	9	niños
2	2	0.006257284432649612	419	4	13	españoles	RG	8	más
3	3	0.005364912562072277	625	4	13	españoles	Z	7	3
4	4	0.005197233520448208	9961	4	13	españoles	NC	6	cuentos
5	5	0.00474689481779933	413	4	13	españoles	Z	5	2
6	6	0.004736700095236301	343	4	13	españoles	DA	4	las
7	7	0.00430728355422616	3034	4	13	españoles	NC	3	libros
8	8	0.004187744110822678	4454	4	13	españoles	NC	2	películas
9	9	0.004073392134159803	679	4	13	españoles	NC	1	años
0	0	0.01421789638698101	9245	5	13	españoles	AQ	10	malos
1	1	0.013246345333755016	5351	5	13	españoles	AQ	9	españoles
2	2	0.012407741509377956	4174	5	13	españoles	AQ	8	buenos
3	3	0.00980637688189745	316	5	13	españoles	DA	7	los
4	4	0.007520915474742651	3722	5	13	españoles	AQ	6	locales
5	5	0.006476589944213629	8062	5	13	españoles	AQ	5	extranjeros
6	6	0.006229996681213379	1662	5	13	españoles	NC	4	niños
